Date,SBIN-EQ O,SBIN-EQ H,SBIN-EQ L,SBIN-EQ C,SBIN-EQ V
9/14/2018 12:53:00 PM,289.95,289.95,289.85,289.85,10736
9/14/2018 12:52:00 PM,289.95,289.95,289.8,289.95,12438
9/14/2018 12:51:00 PM,289.95,289.95,289.8,289.95,9744
9/14/2018 12:50:00 PM,289.9,289.95,289.85,289.9,17334
9/14/2018 12:49:00 PM,289.9,289.95,289.8,289.9,13497
9/14/2018 12:48:00 PM,289.95,289.95,289.85,289.9,10898
9/14/2018 12:47:00 PM,289.95,289.95,289.85,289.9,7461
9/14/2018 12:46:00 PM,289.95,289.95,289.8,289.9,16185
9/14/2018 12:45:00 PM,289.95,289.95,289.9,289.95,8661
9/14/2018 12:44:00 PM,290,290,289.9,289.9,7476
9/14/2018 12:43:00 PM,289.95,290,289.9,289.95,8492
9/14/2018 12:42:00 PM,289.95,289.95,289.75,289.95,24859
9/14/2018 12:41:00 PM,289.95,290,289.9,289.95,13502
9/14/2018 12:40:00 PM,289.9,290,289.9,289.9,11427
9/14/2018 12:39:00 PM,289.95,290,289.85,289.9,10342
9/14/2018 12:38:00 PM,290,290,289.9,289.9,9545
9/14/2018 12:37:00 PM,289.8,289.95,289.8,289.95,11198
9/14/2018 12:36:00 PM,289.95,289.95,289.8,289.85,8599
9/14/2018 12:35:00 PM,290,290,289.9,289.95,8460
9/14/2018 12:34:00 PM,290,290,289.95,290,8743
9/14/2018 12:33:00 PM,290,290,289.9,290,17199
9/14/2018 12:32:00 PM,289.85,290,289.7,290,12731
9/14/2018 12:31:00 PM,289.95,290,289.7,289.75,33530
9/14/2018 12:30:00 PM,290.05,290.05,289.85,290,19038
9/14/2018 12:29:00 PM,290.2,290.2,290,290,13009
9/14/2018 12:28:00 PM,290.25,290.25,290.1,290.1,27684
9/14/2018 12:27:00 PM,290.1,290.25,290.1,290.25,28219
9/14/2018 12:26:00 PM,290.1,290.2,290.05,290.1,28835
9/14/2018 12:25:00 PM,289.9,290.1,289.9,290.05,31105
9/14/2018 12:24:00 PM,289.95,289.95,289.9,289.9,9771
9/14/2018 12:23:00 PM,289.85,289.95,289.75,289.85,19192
9/14/2018 12:22:00 PM,289.95,290,289.75,289.95,26434
9/14/2018 12:21:00 PM,289.95,290,289.85,289.95,15975
9/14/2018 12:20:00 PM,290.05,290.05,289.85,290,10664
9/14/2018 12:19:00 PM,289.85,290.1,289.85,290.05,40033
9/14/2018 12:18:00 PM,289.75,289.9,289.75,289.8,12076
9/14/2018 12:17:00 PM,289.8,290,289.75,289.75,16164
9/14/2018 12:16:00 PM,290,290,289.85,289.85,20301
9/14/2018 12:15:00 PM,289.95,290,289.9,289.95,12933
9/14/2018 12:14:00 PM,289.9,290.15,289.85,289.95,36972
9/14/2018 12:13:00 PM,289.75,289.95,289.65,289.8,14375
9/14/2018 12:12:00 PM,289.9,289.95,289.6,289.75,32757
9/14/2018 12:11:00 PM,289.8,290,289.8,289.9,7985
9/14/2018 12:10:00 PM,289.9,290.05,289.8,289.85,20889
9/14/2018 12:09:00 PM,290.05,290.05,289.75,289.9,24269
9/14/2018 12:08:00 PM,290.1,290.15,289.9,290,16141
9/14/2018 12:07:00 PM,290,290.2,290,290.1,47772
9/14/2018 12:06:00 PM,290.05,290.1,290,290,12610
9/14/2018 12:05:00 PM,290.05,290.15,290.05,290.05,17640
9/14/2018 12:04:00 PM,290.2,290.2,290,290.05,25480
9/14/2018 12:03:00 PM,289.95,290.25,289.85,290.2,65381
9/14/2018 12:02:00 PM,289.75,289.95,289.7,289.9,59041
9/14/2018 12:01:00 PM,289.45,289.75,289.35,289.75,32690
9/14/2018 12:00:00 PM,289.45,289.65,289.4,289.45,44904
