Date,JPYINR18SEPFUT O,JPYINR18SEPFUT H,JPYINR18SEPFUT L,JPYINR18SEPFUT C,JPYINR18SEPFUT V
9/14/2018 2:35:00 PM,64.25,64.25,64.24,64.24,40
9/14/2018 2:34:00 PM,64.2525,64.2525,64.245,64.25,56
9/14/2018 2:33:00 PM,64.2525,64.2525,64.2525,64.2525,0
9/14/2018 2:32:00 PM,64.255,64.255,64.2525,64.2525,4
9/14/2018 2:31:00 PM,64.2525,64.255,64.2475,64.255,41
9/14/2018 2:30:00 PM,64.255,64.26,64.245,64.2525,63
9/14/2018 2:29:00 PM,64.265,64.265,64.255,64.255,16
9/14/2018 2:28:00 PM,64.265,64.265,64.265,64.265,3
9/14/2018 2:27:00 PM,64.27,64.27,64.2625,64.2675,56
9/14/2018 2:26:00 PM,64.265,64.27,64.265,64.27,4
9/14/2018 2:25:00 PM,64.275,64.275,64.2625,64.265,33
9/14/2018 2:24:00 PM,64.265,64.275,64.26,64.275,48
9/14/2018 2:23:00 PM,64.255,64.27,64.255,64.265,69
9/14/2018 2:22:00 PM,64.25,64.2575,64.25,64.255,192
9/14/2018 2:21:00 PM,64.28,64.28,64.25,64.25,56
9/14/2018 2:20:00 PM,64.2925,64.2925,64.28,64.28,19
9/14/2018 2:19:00 PM,64.2875,64.2925,64.2875,64.2925,49
9/14/2018 2:18:00 PM,64.28,64.29,64.28,64.29,36
9/14/2018 2:17:00 PM,64.29,64.29,64.28,64.28,18
9/14/2018 2:16:00 PM,64.29,64.29,64.29,64.29,2
9/14/2018 2:15:00 PM,64.295,64.295,64.29,64.29,1
9/14/2018 2:14:00 PM,64.3,64.305,64.295,64.295,95
9/14/2018 2:13:00 PM,64.315,64.315,64.3,64.3,27
9/14/2018 2:12:00 PM,64.305,64.32,64.305,64.315,142
9/14/2018 2:11:00 PM,64.305,64.305,64.3025,64.305,13
9/14/2018 2:10:00 PM,64.2975,64.31,64.2975,64.305,169
9/14/2018 2:09:00 PM,64.2975,64.2975,64.2975,64.2975,43
9/14/2018 2:08:00 PM,64.2975,64.3025,64.2975,64.2975,116
9/14/2018 2:07:00 PM,64.275,64.2975,64.275,64.2975,154
9/14/2018 2:06:00 PM,64.2875,64.2875,64.275,64.275,6
9/14/2018 2:05:00 PM,64.2825,64.2925,64.2825,64.2875,27
9/14/2018 2:04:00 PM,64.2825,64.2825,64.2775,64.2825,6
9/14/2018 2:03:00 PM,64.275,64.2825,64.275,64.2825,1
9/14/2018 2:02:00 PM,64.275,64.275,64.275,64.275,0
9/14/2018 2:01:00 PM,64.29,64.29,64.275,64.275,34
9/14/2018 2:00:00 PM,64.2825,64.29,64.2825,64.29,100
9/14/2018 1:59:00 PM,64.295,64.295,64.28,64.2825,117
9/14/2018 1:58:00 PM,64.3025,64.3025,64.295,64.295,29
9/14/2018 1:57:00 PM,64.28,64.3075,64.28,64.3025,142
9/14/2018 1:56:00 PM,64.2775,64.28,64.2775,64.28,30
