Date,UPL-EQ O,UPL-EQ H,UPL-EQ L,UPL-EQ C,UPL-EQ V
9/14/2018 11:22:00 AM,732.25,732.45,732.2,732.45,5377
9/14/2018 11:21:00 AM,732.4,732.45,731.95,732.25,6813
9/14/2018 11:20:00 AM,732.05,732.5,732.05,732.45,3534
9/14/2018 11:19:00 AM,732.2,732.5,732,732.05,5724
9/14/2018 11:18:00 AM,732.65,732.9,731.5,732.2,17966
9/14/2018 11:17:00 AM,732.65,733.05,732.6,732.65,8239
9/14/2018 11:16:00 AM,733.8,733.9,732.15,733,12389
9/14/2018 11:15:00 AM,733.2,733.8,733,733.8,11458
9/14/2018 11:14:00 AM,733.2,733.65,732.25,733.2,25569
9/14/2018 11:13:00 AM,732.45,733.2,732.45,733.1,12827
9/14/2018 11:12:00 AM,731.65,732.7,731.65,732.45,9890
9/14/2018 11:11:00 AM,731.35,731.8,731.05,731.7,7647
9/14/2018 11:10:00 AM,731.8,732.15,731,731.3,15562
9/14/2018 11:09:00 AM,731.8,732.3,731.15,731.8,10206
9/14/2018 11:08:00 AM,732.6,732.95,731.5,731.5,10942
9/14/2018 11:07:00 AM,731.9,733.15,731.7,732.7,26641
9/14/2018 11:06:00 AM,732,732.5,731.6,731.95,17669
9/14/2018 11:05:00 AM,730.8,732,730.5,732,26531
9/14/2018 11:04:00 AM,731,731,730.4,730.8,9991
9/14/2018 11:03:00 AM,730.45,731.25,730.4,731,10126
9/14/2018 11:02:00 AM,730.55,730.75,730,730.7,12304
9/14/2018 11:01:00 AM,731.25,731.4,730.4,730.5,10611
9/14/2018 11:00:00 AM,730.9,731.5,730.65,731.25,7691
9/14/2018 10:59:00 AM,730.2,731.75,730.2,730.75,15482
9/14/2018 10:58:00 AM,729.75,730,729.55,730,5841
9/14/2018 10:57:00 AM,730,730.25,729.5,729.75,5607
9/14/2018 10:56:00 AM,730.85,730.85,729.55,730,9518
9/14/2018 10:55:00 AM,730.5,730.85,730,730.85,12912
9/14/2018 10:54:00 AM,730.45,730.65,729.75,730.3,11843
9/14/2018 10:53:00 AM,731,731.2,730,730.05,14566
9/14/2018 10:52:00 AM,728.5,731.5,728.5,730.95,64530
9/14/2018 10:51:00 AM,728.65,728.65,728.2,728.6,8590
9/14/2018 10:50:00 AM,728.4,728.65,727.9,728.65,9507
9/14/2018 10:49:00 AM,728.2,728.75,728,728.4,3053
9/14/2018 10:48:00 AM,728.05,728.55,727.95,728.2,1460
9/14/2018 10:47:00 AM,727.65,728.45,727.65,728.05,3912
9/14/2018 10:46:00 AM,726.95,728.15,726.75,727.8,5862
9/14/2018 10:45:00 AM,726.85,726.95,726.5,726.95,2554
9/14/2018 10:44:00 AM,727.65,727.9,726.85,726.85,4586
9/14/2018 10:43:00 AM,727.3,727.85,727.3,727.65,2807
9/14/2018 10:42:00 AM,728,728.75,727.3,727.3,10484
9/14/2018 10:41:00 AM,727,728,727,728,6187
9/14/2018 10:40:00 AM,726.5,727.25,726.5,727,2526
9/14/2018 10:39:00 AM,726.15,726.7,726,726.5,3492
9/14/2018 10:38:00 AM,726.05,726.2,726,726,2348
9/14/2018 10:37:00 AM,726.9,726.9,725.9,726,5314
9/14/2018 10:36:00 AM,725.85,726.9,725.8,726.9,3459
9/14/2018 10:35:00 AM,725.75,726.25,725.75,725.85,3840
9/14/2018 10:34:00 AM,726.65,726.9,725.7,725.75,5504
9/14/2018 10:33:00 AM,727,727.5,726.65,726.65,11534
9/14/2018 10:32:00 AM,726.55,727.6,726.55,727.35,8810
9/14/2018 10:31:00 AM,726,726.7,726,726.55,6020
9/14/2018 10:30:00 AM,725.6,726.25,724.75,726,12617
9/14/2018 10:29:00 AM,727,727.2,724.7,725.05,22399
9/14/2018 10:28:00 AM,727,727.3,726.5,727.05,7845
9/14/2018 10:27:00 AM,727.05,727.85,726.5,727,9330
9/14/2018 10:26:00 AM,727.55,727.55,726.3,727.05,28847
9/14/2018 10:25:00 AM,729.4,729.4,727.55,727.55,12683
9/14/2018 10:24:00 AM,728.95,729.5,728.8,729.4,13048
9/14/2018 10:23:00 AM,728.5,729.2,728.4,728.95,18360
9/14/2018 10:22:00 AM,727.65,728.95,727.2,728.95,16194
9/14/2018 10:21:00 AM,728.05,728.4,727.5,727.65,7870
9/14/2018 10:20:00 AM,728.95,728.95,727.05,728,16939
9/14/2018 10:19:00 AM,729.1,729.9,728,728.8,27073
9/14/2018 10:18:00 AM,727.35,729.7,727.35,729.55,26071
9/14/2018 10:17:00 AM,728.65,729,727.35,727.35,19146
9/14/2018 10:16:00 AM,728.45,730,728.45,729.15,40644
9/14/2018 10:15:00 AM,727.65,728.6,727.45,728.6,20552
9/14/2018 10:14:00 AM,728.75,728.75,727.05,727.4,33630
9/14/2018 10:13:00 AM,726.95,728.8,726.65,728.5,52242
9/14/2018 10:12:00 AM,724.5,727.3,724.3,726.7,74642
9/14/2018 10:11:00 AM,724.25,724.5,724,724.25,21809
9/14/2018 10:10:00 AM,724.5,724.65,723.35,724.25,28094
9/14/2018 10:09:00 AM,722.7,724.3,722.25,724.3,70800
9/14/2018 10:08:00 AM,720.55,722.55,719.85,722.5,41721
9/14/2018 10:07:00 AM,719.35,720.8,719.35,720.55,31734
9/14/2018 10:06:00 AM,719,719.4,718.75,719.35,7494
9/14/2018 10:05:00 AM,718.5,719,717.6,719,12447
9/14/2018 10:04:00 AM,716.45,718.75,716.45,718.1,13552
9/14/2018 10:03:00 AM,716.05,716.7,715.9,716.45,3837
9/14/2018 10:02:00 AM,716.2,716.5,716.05,716.05,2253
9/14/2018 10:01:00 AM,715.95,716.5,715.75,716.2,804
9/14/2018 10:00:00 AM,716.5,716.7,716,716,2669
9/14/2018 9:59:00 AM,717.4,717.5,716.4,716.5,6923
9/14/2018 9:58:00 AM,717.25,717.5,717.15,717.4,4572
9/14/2018 9:57:00 AM,716.55,717.25,716.45,717.25,7147
9/14/2018 9:56:00 AM,715.9,716.7,715.7,716.55,3372
9/14/2018 9:55:00 AM,715.3,716.65,715.3,715.9,4945
