Date,USDINR18OCT73PE O,USDINR18OCT73PE H,USDINR18OCT73PE L,USDINR18OCT73PE C,USDINR18OCT73PE V
9/14/2018 12:06:00 PM,1.295,1.295,1.295,1.295,0
9/14/2018 12:05:00 PM,1.295,1.295,1.295,1.295,0
9/14/2018 12:04:00 PM,1.2425,1.295,1.2425,1.295,60
9/14/2018 12:03:00 PM,1.2425,1.2425,1.2425,1.2425,0
9/14/2018 12:02:00 PM,1.2425,1.2425,1.2425,1.2425,0
9/14/2018 12:01:00 PM,1.2425,1.2425,1.2425,1.2425,0
9/14/2018 12:00:00 PM,1.2425,1.2425,1.2425,1.2425,0
9/14/2018 11:59:00 AM,1.2425,1.2425,1.2425,1.2425,0
9/14/2018 11:58:00 AM,1.2425,1.2425,1.2425,1.2425,0
9/14/2018 11:57:00 AM,1.2425,1.2425,1.2425,1.2425,0
9/14/2018 11:56:00 AM,1.2425,1.2425,1.2425,1.2425,0
9/14/2018 11:55:00 AM,1.2425,1.2425,1.2425,1.2425,0
9/14/2018 11:54:00 AM,1.25,1.25,1.2425,1.2425,2
9/14/2018 11:53:00 AM,1.25,1.25,1.25,1.25,0
9/14/2018 11:52:00 AM,1.25,1.25,1.25,1.25,0
9/14/2018 11:51:00 AM,1.25,1.25,1.25,1.25,0
9/14/2018 11:50:00 AM,1.25,1.25,1.25,1.25,0
9/14/2018 11:49:00 AM,1.25,1.25,1.25,1.25,0
9/14/2018 11:48:00 AM,1.25,1.25,1.25,1.25,0
9/14/2018 11:47:00 AM,1.25,1.25,1.25,1.25,0
9/14/2018 11:46:00 AM,1.25,1.25,1.25,1.25,0
9/14/2018 11:45:00 AM,1.25,1.25,1.25,1.25,0
9/14/2018 11:44:00 AM,1.25,1.25,1.25,1.25,0
9/14/2018 11:43:00 AM,1.25,1.25,1.25,1.25,0
9/14/2018 11:42:00 AM,1.25,1.25,1.25,1.25,0
9/14/2018 11:41:00 AM,1.25,1.25,1.25,1.25,0
9/14/2018 11:40:00 AM,1.25,1.25,1.25,1.25,0
9/14/2018 11:39:00 AM,1.25,1.25,1.25,1.25,0
9/14/2018 11:38:00 AM,1.27,1.27,1.25,1.25,80
9/14/2018 11:37:00 AM,1.27,1.27,1.27,1.27,0
9/14/2018 11:36:00 AM,1.27,1.27,1.27,1.27,0
9/14/2018 11:35:00 AM,1.27,1.27,1.27,1.27,0
9/14/2018 11:34:00 AM,1.27,1.27,1.27,1.27,0
9/14/2018 11:33:00 AM,1.27,1.27,1.27,1.27,0
9/14/2018 11:32:00 AM,1.27,1.27,1.27,1.27,0
9/14/2018 11:31:00 AM,1.27,1.27,1.27,1.27,0
9/14/2018 11:30:00 AM,1.27,1.27,1.27,1.27,53
9/14/2018 11:29:00 AM,1.27,1.27,1.27,1.27,0
9/14/2018 11:28:00 AM,1.27,1.27,1.27,1.27,87
9/14/2018 11:27:00 AM,1.27,1.27,1.27,1.27,110
9/14/2018 11:26:00 AM,1.27,1.27,1.27,1.27,0
9/14/2018 11:25:00 AM,1.27,1.27,1.27,1.27,0
9/14/2018 11:24:00 AM,1.27,1.27,1.27,1.27,0
9/14/2018 11:23:00 AM,1.27,1.27,1.27,1.27,0
9/14/2018 11:22:00 AM,1.27,1.27,1.27,1.27,0
9/14/2018 11:21:00 AM,1.27,1.27,1.27,1.27,0
9/14/2018 11:20:00 AM,1.27,1.27,1.27,1.27,0
9/14/2018 11:19:00 AM,1.27,1.27,1.27,1.27,0
9/14/2018 11:18:00 AM,1.27,1.27,1.27,1.27,0
9/14/2018 11:17:00 AM,1.27,1.27,1.27,1.27,0
9/14/2018 11:16:00 AM,1.27,1.27,1.27,1.27,0
9/14/2018 11:15:00 AM,1.27,1.27,1.27,1.27,0
9/14/2018 11:14:00 AM,1.27,1.27,1.27,1.27,0
9/14/2018 11:13:00 AM,1.27,1.27,1.27,1.27,0
9/14/2018 11:12:00 AM,1.27,1.27,1.27,1.27,0
9/14/2018 11:11:00 AM,1.27,1.27,1.27,1.27,0
9/14/2018 11:10:00 AM,1.27,1.27,1.27,1.27,0
9/14/2018 11:09:00 AM,1.27,1.27,1.27,1.27,0
9/14/2018 11:08:00 AM,1.27,1.27,1.27,1.27,0
9/14/2018 11:07:00 AM,1.27,1.27,1.27,1.27,0
