Date,ZEEL-EQ O,ZEEL-EQ H,ZEEL-EQ L,ZEEL-EQ C,ZEEL-EQ V
9/14/2018 1:10:00 PM,470,470,469.95,470,559
9/14/2018 1:09:00 PM,470,470,469.95,470,1433
9/14/2018 1:08:00 PM,470,470,469.95,470,1217
9/14/2018 1:07:00 PM,470,470.05,469.95,470,1202
9/14/2018 1:06:00 PM,470.05,470.1,470,470,1237
9/14/2018 1:05:00 PM,470,470.2,469.95,470.05,3907
9/14/2018 1:04:00 PM,469.8,470.05,469.8,470,1654
9/14/2018 1:03:00 PM,469.75,469.8,469.7,469.8,1175
9/14/2018 1:02:00 PM,469.95,469.95,469.75,469.8,819
9/14/2018 1:01:00 PM,470,470,469.85,469.95,1294
9/14/2018 1:00:00 PM,470,470,469.95,470,734
9/14/2018 12:59:00 PM,470,470,469.95,470,1552
9/14/2018 12:58:00 PM,469.9,470,469.85,470,1146
9/14/2018 12:57:00 PM,469.9,469.9,469.9,469.9,953
9/14/2018 12:56:00 PM,469.95,469.95,469.8,469.9,980
9/14/2018 12:55:00 PM,469.65,469.95,469.3,469.95,2583
9/14/2018 12:54:00 PM,469.7,469.7,469.55,469.65,800
9/14/2018 12:53:00 PM,470.15,470.2,469.85,469.85,989
9/14/2018 12:52:00 PM,470.3,470.45,470.1,470.15,1079
9/14/2018 12:51:00 PM,470.35,470.45,470.3,470.3,1765
9/14/2018 12:50:00 PM,469.9,470.45,469.9,470.35,2894
9/14/2018 12:49:00 PM,469.95,469.95,469.9,469.9,712
9/14/2018 12:48:00 PM,470,470.1,469.9,469.95,1242
9/14/2018 12:47:00 PM,470.05,470.15,469.85,470,1778
9/14/2018 12:46:00 PM,470,470.35,470,470.05,1284
9/14/2018 12:45:00 PM,470.3,470.5,470.3,470.35,8643
9/14/2018 12:44:00 PM,469,470,468.65,469.95,8028
9/14/2018 12:43:00 PM,469.6,469.6,469.1,469.2,4496
9/14/2018 12:42:00 PM,469.65,469.65,469.5,469.6,994
9/14/2018 12:41:00 PM,469.6,469.7,469.6,469.65,1595
9/14/2018 12:40:00 PM,469.9,469.95,469.6,469.65,2909
9/14/2018 12:39:00 PM,470.15,470.2,469.9,469.9,1995
9/14/2018 12:38:00 PM,470.15,470.2,470,470.15,1983
9/14/2018 12:37:00 PM,470.45,470.45,470.05,470.05,4111
9/14/2018 12:36:00 PM,470.45,470.5,470.35,470.35,1721
9/14/2018 12:35:00 PM,470.35,470.75,470.25,470.45,3421
9/14/2018 12:34:00 PM,470.35,470.4,470.15,470.35,3339
9/14/2018 12:33:00 PM,470.45,470.5,470.35,470.35,1366
9/14/2018 12:32:00 PM,470.4,470.65,470.4,470.45,1362
9/14/2018 12:31:00 PM,470.65,470.75,470.35,470.35,2483
9/14/2018 12:30:00 PM,470.55,470.8,470.5,470.65,1542
9/14/2018 12:29:00 PM,470.45,470.7,470.45,470.55,1223
