Date,ONGC-EQ O,ONGC-EQ H,ONGC-EQ L,ONGC-EQ C,ONGC-EQ V
9/14/2018 1:26:00 PM,170.4,170.75,170.4,170.7,53273
9/14/2018 1:25:00 PM,170.35,170.4,170.3,170.35,8348
9/14/2018 1:24:00 PM,170.15,170.4,170.15,170.35,21444
9/14/2018 1:23:00 PM,170.15,170.2,170.1,170.1,3601
9/14/2018 1:22:00 PM,170.05,170.05,170,170.05,4314
9/14/2018 1:21:00 PM,170,170.05,170,170,3610
9/14/2018 1:20:00 PM,170.05,170.05,170,170,3543
9/14/2018 1:19:00 PM,170.15,170.15,170.05,170.05,2650
9/14/2018 1:18:00 PM,170.2,170.2,170.1,170.1,2072
9/14/2018 1:17:00 PM,170.05,170.25,170.05,170.2,14744
9/14/2018 1:16:00 PM,170.1,170.15,170.05,170.05,8896
9/14/2018 1:15:00 PM,169.9,170.3,169.9,170.05,70487
9/14/2018 1:14:00 PM,169.95,170,169.85,169.9,2675
9/14/2018 1:13:00 PM,170,170.05,169.95,169.95,10300
9/14/2018 1:12:00 PM,170.2,170.2,170,170,51025
9/14/2018 1:11:00 PM,170.1,170.35,170.05,170.2,38380
9/14/2018 1:10:00 PM,170.4,170.4,170.1,170.1,13586
9/14/2018 1:09:00 PM,170.2,170.4,170.15,170.35,13152
9/14/2018 1:08:00 PM,170.15,170.2,170.1,170.2,5145
9/14/2018 1:07:00 PM,170.05,170.2,170.05,170.1,10090
9/14/2018 1:06:00 PM,169.85,170.05,169.8,170.05,41563
9/14/2018 1:05:00 PM,169.95,169.95,169.8,169.85,3324
9/14/2018 1:04:00 PM,169.75,169.95,169.65,169.95,10218
9/14/2018 1:03:00 PM,169.85,169.9,169.7,169.75,12060
9/14/2018 1:02:00 PM,169.85,169.9,169.7,169.85,18573
9/14/2018 1:01:00 PM,169.5,169.85,169.5,169.85,18281
9/14/2018 1:00:00 PM,169.35,169.5,169.35,169.5,33096
9/14/2018 12:59:00 PM,169.3,169.35,169.25,169.3,2806
9/14/2018 12:58:00 PM,169.35,169.35,169.25,169.25,2676
9/14/2018 12:57:00 PM,169.3,169.35,169.25,169.35,2227
9/14/2018 12:56:00 PM,169.35,169.35,169.25,169.25,3847
9/14/2018 12:55:00 PM,169.4,169.4,169.25,169.25,10784
9/14/2018 12:54:00 PM,169.35,169.4,169.35,169.4,5390
9/14/2018 12:53:00 PM,169.4,169.4,169.35,169.4,3098
9/14/2018 12:52:00 PM,169.3,169.4,169.3,169.4,22838
9/14/2018 12:51:00 PM,169.25,169.3,169.2,169.3,3509
9/14/2018 12:50:00 PM,169.2,169.25,169.15,169.25,1890
9/14/2018 12:49:00 PM,169.2,169.2,169.15,169.2,3006
9/14/2018 12:48:00 PM,169.15,169.25,169.15,169.2,11720
9/14/2018 12:47:00 PM,169.1,169.15,169.05,169.15,10298
9/14/2018 12:46:00 PM,169.1,169.1,169.05,169.05,1627
9/14/2018 12:45:00 PM,169.1,169.15,169.05,169.05,5853
9/14/2018 12:44:00 PM,169.15,169.2,169.1,169.1,8785
9/14/2018 12:43:00 PM,169.2,169.25,169.15,169.2,17333
9/14/2018 12:42:00 PM,169.2,169.2,169.05,169.15,19521
9/14/2018 12:41:00 PM,169.15,169.2,169.1,169.15,15874
9/14/2018 12:40:00 PM,169.35,169.35,169.1,169.15,27270
9/14/2018 12:39:00 PM,169.35,169.4,169.25,169.25,7947
9/14/2018 12:38:00 PM,169.4,169.4,169.35,169.35,5456
9/14/2018 12:37:00 PM,169.3,169.4,169.25,169.4,15316
9/14/2018 12:36:00 PM,169.25,169.4,169.25,169.25,7153
9/14/2018 12:35:00 PM,169,169.25,169,169.25,14418
9/14/2018 12:34:00 PM,169,169,168.9,169,6524
9/14/2018 12:33:00 PM,168.9,169,168.9,169,2902
9/14/2018 12:32:00 PM,168.85,168.9,168.8,168.9,7238
9/14/2018 12:31:00 PM,168.85,168.95,168.85,168.9,5835
9/14/2018 12:30:00 PM,168.95,169,168.8,168.8,8993
9/14/2018 12:29:00 PM,168.9,169,168.85,168.95,12245
9/14/2018 12:28:00 PM,168.9,168.9,168.8,168.8,4967
9/14/2018 12:27:00 PM,168.9,168.9,168.85,168.9,23100
9/14/2018 12:26:00 PM,168.75,168.9,168.75,168.9,2993
9/14/2018 12:25:00 PM,168.75,168.75,168.7,168.7,2836
9/14/2018 12:24:00 PM,168.75,168.75,168.7,168.75,1092
9/14/2018 12:23:00 PM,168.9,168.9,168.7,168.75,3691
9/14/2018 12:22:00 PM,168.9,168.9,168.85,168.9,11270
9/14/2018 12:21:00 PM,168.8,168.9,168.8,168.9,3112
9/14/2018 12:20:00 PM,168.85,168.85,168.7,168.8,3840
9/14/2018 12:19:00 PM,168.7,168.9,168.7,168.85,16220
9/14/2018 12:18:00 PM,168.6,168.75,168.6,168.75,4121
9/14/2018 12:17:00 PM,168.8,168.8,168.6,168.6,6418
9/14/2018 12:16:00 PM,168.7,168.8,168.7,168.8,5607
9/14/2018 12:15:00 PM,168.6,168.7,168.6,168.7,2616
9/14/2018 12:14:00 PM,168.5,168.6,168.5,168.6,12776
9/14/2018 12:13:00 PM,168.6,168.6,168.5,168.5,6072
9/14/2018 12:12:00 PM,168.5,168.6,168.45,168.6,3468
9/14/2018 12:11:00 PM,168.5,168.6,168.45,168.5,5777
9/14/2018 12:10:00 PM,168.5,168.6,168.45,168.5,10059
9/14/2018 12:09:00 PM,168.6,168.6,168.5,168.6,4870
9/14/2018 12:08:00 PM,168.6,168.65,168.55,168.6,4366
9/14/2018 12:07:00 PM,168.65,168.7,168.6,168.6,1819
9/14/2018 12:06:00 PM,168.75,168.8,168.65,168.65,2037
9/14/2018 12:05:00 PM,168.65,168.85,168.65,168.75,5248
9/14/2018 12:04:00 PM,168.65,168.75,168.6,168.65,8180
9/14/2018 12:03:00 PM,168.7,168.7,168.55,168.65,4625
9/14/2018 12:02:00 PM,168.7,168.7,168.4,168.7,30156
9/14/2018 12:01:00 PM,168.65,168.7,168.65,168.7,2102
9/14/2018 12:00:00 PM,168.7,168.7,168.65,168.65,1819
9/14/2018 11:59:00 AM,168.75,168.8,168.6,168.7,4276
9/14/2018 11:58:00 AM,168.8,168.8,168.75,168.75,437
9/14/2018 11:57:00 AM,168.8,168.8,168.75,168.8,2205
9/14/2018 11:56:00 AM,168.7,168.8,168.7,168.8,5451
9/14/2018 11:55:00 AM,168.65,168.75,168.65,168.7,4594
9/14/2018 11:54:00 AM,168.6,168.6,168.5,168.6,8296
9/14/2018 11:53:00 AM,168.7,168.7,168.55,168.6,11056
9/14/2018 11:52:00 AM,168.85,168.9,168.7,168.7,12635
9/14/2018 11:51:00 AM,168.95,168.95,168.85,168.85,5563
9/14/2018 11:50:00 AM,168.95,168.95,168.9,168.95,579
9/14/2018 11:49:00 AM,168.9,169,168.9,168.95,4064
9/14/2018 11:48:00 AM,169,169,168.9,168.9,4455
9/14/2018 11:47:00 AM,169.05,169.05,168.95,168.95,21546
9/14/2018 11:46:00 AM,169.15,169.25,169.05,169.05,27236
9/14/2018 11:45:00 AM,169.2,169.25,169.1,169.15,5136
9/14/2018 11:44:00 AM,169.25,169.25,169.1,169.2,1735
9/14/2018 11:43:00 AM,168.95,169.25,168.95,169.25,15633
9/14/2018 11:42:00 AM,169,169.05,168.95,169,4600
9/14/2018 11:41:00 AM,169.05,169.1,169,169,8195
9/14/2018 11:40:00 AM,169,169.05,169,169.05,1213
9/14/2018 11:39:00 AM,169,169.05,168.95,169,1799
9/14/2018 11:38:00 AM,168.9,169,168.9,169,3196
9/14/2018 11:37:00 AM,168.9,168.9,168.85,168.9,3369
9/14/2018 11:36:00 AM,168.9,168.9,168.9,168.9,1987
9/14/2018 11:35:00 AM,168.9,168.9,168.85,168.9,3389
9/14/2018 11:34:00 AM,168.9,168.9,168.85,168.9,221
9/14/2018 11:33:00 AM,168.8,168.9,168.75,168.9,2669
9/14/2018 11:32:00 AM,168.85,168.85,168.7,168.8,10296
9/14/2018 11:31:00 AM,168.85,168.85,168.8,168.8,4015
9/14/2018 11:30:00 AM,168.85,168.9,168.8,168.85,2141
9/14/2018 11:29:00 AM,168.9,168.95,168.85,168.85,6684
9/14/2018 11:28:00 AM,168.85,168.95,168.85,168.9,2759
9/14/2018 11:27:00 AM,169.05,169.1,168.75,168.8,24779
9/14/2018 11:26:00 AM,169.15,169.15,169.05,169.05,1287
9/14/2018 11:25:00 AM,169.1,169.15,169.1,169.15,2650
9/14/2018 11:24:00 AM,169.15,169.15,169.1,169.1,1279
9/14/2018 11:23:00 AM,169.15,169.15,169.1,169.15,1102
9/14/2018 11:22:00 AM,169.15,169.15,169.1,169.15,812
9/14/2018 11:21:00 AM,169.1,169.15,169.05,169.15,3050
9/14/2018 11:20:00 AM,169.1,169.15,169.1,169.1,884
9/14/2018 11:19:00 AM,169.15,169.15,169.05,169.1,5122
9/14/2018 11:18:00 AM,169.1,169.15,169.1,169.15,1636
9/14/2018 11:17:00 AM,169.15,169.15,169.1,169.15,1947
9/14/2018 11:16:00 AM,169.15,169.15,169.1,169.15,474
9/14/2018 11:15:00 AM,169.05,169.1,169,169.1,2966
9/14/2018 11:14:00 AM,169.2,169.2,169,169.05,5460
9/14/2018 11:13:00 AM,169.2,169.2,169.15,169.2,2767
9/14/2018 11:12:00 AM,169.25,169.25,169.2,169.2,2352
9/14/2018 11:11:00 AM,169.2,169.25,169.15,169.25,940
9/14/2018 11:10:00 AM,169.25,169.25,169.2,169.2,2578
9/14/2018 11:09:00 AM,169.25,169.25,169.2,169.25,1037
9/14/2018 11:08:00 AM,169.2,169.25,169.15,169.2,1606
9/14/2018 11:07:00 AM,169.2,169.25,169.1,169.2,8602
9/14/2018 11:06:00 AM,169.3,169.4,169.25,169.25,30618
9/14/2018 11:05:00 AM,169.3,169.4,169.2,169.2,4587
9/14/2018 11:04:00 AM,169.15,169.35,169.15,169.3,4975
9/14/2018 11:03:00 AM,169.4,169.4,169.15,169.15,17970
9/14/2018 11:02:00 AM,169.25,169.4,169.25,169.4,10907
9/14/2018 11:01:00 AM,169.35,169.4,169.25,169.25,21325
9/14/2018 11:00:00 AM,169.05,169.35,169.05,169.35,17013
9/14/2018 10:59:00 AM,169.15,169.15,169,169.05,8963
9/14/2018 10:58:00 AM,169.3,169.3,169.1,169.1,11530
9/14/2018 10:57:00 AM,169.3,169.3,169.25,169.3,1370
9/14/2018 10:56:00 AM,169.25,169.3,169.25,169.3,3621
9/14/2018 10:55:00 AM,169.35,169.35,169.2,169.25,4977
9/14/2018 10:54:00 AM,169.35,169.35,169.3,169.3,1237
9/14/2018 10:53:00 AM,169.3,169.35,169.3,169.35,657
9/14/2018 10:52:00 AM,169.35,169.35,169.3,169.3,1299
9/14/2018 10:51:00 AM,169.35,169.35,169.3,169.35,3375
9/14/2018 10:50:00 AM,169.25,169.35,169.25,169.35,3315
9/14/2018 10:49:00 AM,169.25,169.3,169.15,169.3,3692
9/14/2018 10:48:00 AM,169.1,169.25,169.05,169.25,4232
9/14/2018 10:47:00 AM,169.1,169.1,169.1,169.1,2044
9/14/2018 10:46:00 AM,169.05,169.1,169,169.1,3736
9/14/2018 10:45:00 AM,169.05,169.05,169,169.05,1051
9/14/2018 10:44:00 AM,168.95,169.05,168.95,169.05,2172
9/14/2018 10:43:00 AM,168.95,169,168.9,168.95,3273
9/14/2018 10:42:00 AM,169.05,169.1,168.95,168.95,7318
9/14/2018 10:41:00 AM,169.2,169.2,169.05,169.05,6080
9/14/2018 10:40:00 AM,169.05,169.2,169,169.2,5222
9/14/2018 10:39:00 AM,168.9,169.15,168.9,169,10208
9/14/2018 10:38:00 AM,169.3,169.3,168.9,168.9,30826
9/14/2018 10:37:00 AM,169.45,169.45,169.25,169.3,9386
9/14/2018 10:36:00 AM,169.4,169.45,169.35,169.45,17277
9/14/2018 10:35:00 AM,169.45,169.45,169.3,169.4,10240
9/14/2018 10:34:00 AM,169.45,169.45,169.4,169.45,3095
9/14/2018 10:33:00 AM,169.35,169.45,169.3,169.45,5836
9/14/2018 10:32:00 AM,169.35,169.4,169.3,169.3,2637
9/14/2018 10:31:00 AM,169.25,169.4,169.25,169.35,2322
9/14/2018 10:30:00 AM,169.35,169.35,169.2,169.25,10070
9/14/2018 10:29:00 AM,169.3,169.4,169.3,169.35,1709
9/14/2018 10:28:00 AM,169.35,169.4,169.3,169.35,3193
9/14/2018 10:27:00 AM,169.4,169.5,169.4,169.4,7458
9/14/2018 10:26:00 AM,169.2,169.4,169.15,169.3,3649
9/14/2018 10:25:00 AM,169.3,169.3,169.1,169.2,6195
9/14/2018 10:24:00 AM,169.7,169.7,169.25,169.3,38094
9/14/2018 10:23:00 AM,169.7,169.75,169.65,169.7,2328
9/14/2018 10:22:00 AM,169.7,169.7,169.7,169.7,1803
9/14/2018 10:21:00 AM,169.75,169.75,169.65,169.65,21613
9/14/2018 10:20:00 AM,169.55,169.75,169.55,169.75,16816
9/14/2018 10:19:00 AM,169.6,169.6,169.55,169.55,1242
9/14/2018 10:18:00 AM,169.65,169.65,169.5,169.6,5749
9/14/2018 10:17:00 AM,169.6,169.65,169.55,169.65,5280
9/14/2018 10:16:00 AM,169.65,169.65,169.6,169.6,1863
9/14/2018 10:15:00 AM,169.6,169.65,169.6,169.6,1825
9/14/2018 10:14:00 AM,169.55,169.65,169.55,169.6,4879
9/14/2018 10:13:00 AM,169.55,169.55,169.5,169.55,2500
9/14/2018 10:12:00 AM,169.6,169.6,169.55,169.55,3705
9/14/2018 10:11:00 AM,169.65,169.65,169.55,169.6,4829
9/14/2018 10:10:00 AM,169.65,169.75,169.65,169.65,3966
9/14/2018 10:09:00 AM,169.75,169.75,169.65,169.65,3719
9/14/2018 10:08:00 AM,169.7,169.75,169.7,169.75,4157
9/14/2018 10:07:00 AM,169.6,169.7,169.6,169.7,1910
9/14/2018 10:06:00 AM,169.65,169.65,169.6,169.65,2300
9/14/2018 10:05:00 AM,169.6,169.65,169.6,169.65,1555
9/14/2018 10:04:00 AM,169.65,169.7,169.6,169.6,5031
9/14/2018 10:03:00 AM,169.75,169.75,169.6,169.65,4589
9/14/2018 10:02:00 AM,169.6,169.75,169.6,169.75,4929
9/14/2018 10:01:00 AM,169.6,169.65,169.5,169.6,5142
9/14/2018 10:00:00 AM,169.55,169.65,169.5,169.6,7400
9/14/2018 9:59:00 AM,169.65,169.65,169.5,169.55,3051
9/14/2018 9:58:00 AM,169.65,169.8,169.6,169.65,14266
9/14/2018 9:57:00 AM,169.75,169.75,169.6,169.65,3724
9/14/2018 9:56:00 AM,169.85,169.95,169.65,169.75,8595
9/14/2018 9:55:00 AM,169.8,169.9,169.75,169.85,7110
9/14/2018 9:54:00 AM,169.7,169.8,169.7,169.8,4829
9/14/2018 9:53:00 AM,170,170,169.6,169.7,7735
9/14/2018 9:52:00 AM,169.75,170,169.75,169.95,9591
9/14/2018 9:51:00 AM,169.9,169.9,169.85,169.85,1664
9/14/2018 9:50:00 AM,169.65,169.9,169.65,169.85,3092
