Date,USDINR18SEP72PE O,USDINR18SEP72PE H,USDINR18SEP72PE L,USDINR18SEP72PE C,USDINR18SEP72PE V
9/14/2018 3:03:00 PM,0.5025,0.505,0.5025,0.505,45
9/14/2018 3:02:00 PM,0.5025,0.5025,0.5025,0.5025,0
9/14/2018 3:01:00 PM,0.5,0.505,0.5,0.5025,175
9/14/2018 3:00:00 PM,0.5025,0.505,0.5,0.5,277
9/14/2018 2:59:00 PM,0.51,0.51,0.4975,0.4975,147
9/14/2018 2:58:00 PM,0.51,0.51,0.51,0.51,50
9/14/2018 2:57:00 PM,0.5125,0.5125,0.51,0.51,25
9/14/2018 2:56:00 PM,0.51,0.5125,0.51,0.5125,24
9/14/2018 2:55:00 PM,0.505,0.51,0.505,0.51,40
9/14/2018 2:54:00 PM,0.5075,0.5075,0.505,0.505,105
9/14/2018 2:53:00 PM,0.505,0.515,0.505,0.5075,159
9/14/2018 2:52:00 PM,0.5075,0.5075,0.505,0.505,5
9/14/2018 2:51:00 PM,0.51,0.51,0.5075,0.5075,2
9/14/2018 2:50:00 PM,0.52,0.52,0.51,0.51,186
9/14/2018 2:49:00 PM,0.5225,0.5225,0.52,0.52,60
9/14/2018 2:48:00 PM,0.53,0.53,0.5225,0.5225,50
9/14/2018 2:47:00 PM,0.5225,0.53,0.5225,0.53,50
9/14/2018 2:46:00 PM,0.5275,0.5275,0.5225,0.5225,50
9/14/2018 2:45:00 PM,0.5125,0.5275,0.5125,0.5275,196
9/14/2018 2:44:00 PM,0.52,0.52,0.5125,0.5125,4
9/14/2018 2:43:00 PM,0.5275,0.5275,0.5275,0.5275,0
9/14/2018 2:42:00 PM,0.5275,0.5275,0.5275,0.5275,0
9/14/2018 2:41:00 PM,0.5275,0.5275,0.5275,0.5275,0
9/14/2018 2:40:00 PM,0.5275,0.53,0.525,0.5275,24
9/14/2018 2:39:00 PM,0.535,0.535,0.5275,0.5275,63
9/14/2018 2:38:00 PM,0.535,0.535,0.535,0.535,0
9/14/2018 2:37:00 PM,0.54,0.54,0.535,0.535,5
9/14/2018 2:36:00 PM,0.5275,0.54,0.5275,0.54,552
9/14/2018 2:35:00 PM,0.5275,0.5275,0.5275,0.5275,0
9/14/2018 2:34:00 PM,0.5275,0.5275,0.5275,0.5275,1
9/14/2018 2:33:00 PM,0.5225,0.53,0.5225,0.5275,6
9/14/2018 2:32:00 PM,0.5225,0.5225,0.5225,0.5225,0
9/14/2018 2:31:00 PM,0.5275,0.5325,0.5225,0.5225,63
9/14/2018 2:30:00 PM,0.53,0.53,0.5275,0.5275,239
9/14/2018 2:29:00 PM,0.5175,0.53,0.5175,0.53,38
9/14/2018 2:28:00 PM,0.5175,0.5175,0.5175,0.5175,92
9/14/2018 2:27:00 PM,0.515,0.5175,0.515,0.5175,2
9/14/2018 2:26:00 PM,0.515,0.515,0.5025,0.515,55
9/14/2018 2:25:00 PM,0.5175,0.5225,0.515,0.515,89
9/14/2018 2:24:00 PM,0.5175,0.5175,0.5175,0.5175,0
9/14/2018 2:23:00 PM,0.5225,0.5225,0.5175,0.5175,10
9/14/2018 2:22:00 PM,0.525,0.525,0.52,0.5225,11
9/14/2018 2:21:00 PM,0.52,0.525,0.52,0.525,3
9/14/2018 2:20:00 PM,0.5025,0.5225,0.5025,0.52,206
9/14/2018 2:19:00 PM,0.5,0.505,0.5,0.5025,122
9/14/2018 2:18:00 PM,0.51,0.51,0.5,0.5,200
9/14/2018 2:17:00 PM,0.5025,0.51,0.5025,0.51,140
9/14/2018 2:16:00 PM,0.505,0.5075,0.5025,0.5025,245
9/14/2018 2:15:00 PM,0.5,0.505,0.5,0.505,101
9/14/2018 2:14:00 PM,0.4975,0.5,0.4975,0.5,122
9/14/2018 2:13:00 PM,0.495,0.4975,0.495,0.4975,65
9/14/2018 2:12:00 PM,0.495,0.495,0.4825,0.495,507
9/14/2018 2:11:00 PM,0.49,0.495,0.49,0.495,553
9/14/2018 2:10:00 PM,0.495,0.495,0.4875,0.49,351
9/14/2018 2:09:00 PM,0.5,0.5,0.4925,0.495,107
9/14/2018 2:08:00 PM,0.495,0.5,0.495,0.5,26
9/14/2018 2:07:00 PM,0.51,0.51,0.495,0.495,178
