Date,BANKNIFTY19SEP1826900PE O,BANKNIFTY19SEP1826900PE H,BANKNIFTY19SEP1826900PE L,BANKNIFTY19SEP1826900PE C,BANKNIFTY19SEP1826900PE V
9/14/2018 12:51:00 PM,97.25,98.75,97.1,98.25,5000
9/14/2018 12:50:00 PM,97.65,98.05,95.3,97.45,7200
9/14/2018 12:49:00 PM,100.8,100.8,97.65,97.65,6480
9/14/2018 12:48:00 PM,97.4,100.8,97.4,100.8,6800
9/14/2018 12:47:00 PM,99.3,99.35,95.65,97.4,9400
9/14/2018 12:46:00 PM,99,99.35,97.15,98.65,4880
9/14/2018 12:45:00 PM,100.55,101.95,99,99,10480
9/14/2018 12:44:00 PM,95.3,100.55,95.2,100.55,7920
9/14/2018 12:43:00 PM,95.8,96.25,95,95.3,7640
9/14/2018 12:42:00 PM,97.8,98.65,96.2,96.2,9400
9/14/2018 12:41:00 PM,95.1,98,95.1,97.5,6120
9/14/2018 12:40:00 PM,95.55,96,94.3,95.55,4120
9/14/2018 12:39:00 PM,97.15,97.75,93.8,95.55,8560
9/14/2018 12:38:00 PM,97.75,98.1,94.1,97.15,7440
9/14/2018 12:37:00 PM,102.2,102.2,97.35,97.75,5680
9/14/2018 12:36:00 PM,98.5,102.1,98.5,101.3,13600
9/14/2018 12:35:00 PM,98,99.6,96,98.3,4200
9/14/2018 12:34:00 PM,94.75,98.05,94.35,97.65,7880
9/14/2018 12:33:00 PM,98.65,98.65,94.8,94.8,10600
9/14/2018 12:32:00 PM,98.95,99.15,97.65,98.65,12400
9/14/2018 12:31:00 PM,96.85,98.55,95.75,98.25,13400
9/14/2018 12:30:00 PM,96.5,96.75,93.75,96,4600
9/14/2018 12:29:00 PM,95.85,96.05,94.05,95.9,6520
9/14/2018 12:28:00 PM,93.5,97.1,93,95.85,6720
9/14/2018 12:27:00 PM,94.05,94.05,91.1,93.5,5600
9/14/2018 12:26:00 PM,92.5,94.1,91.2,94.05,7200
9/14/2018 12:25:00 PM,96.9,96.9,92.5,92.5,7560
9/14/2018 12:24:00 PM,96.6,97.15,94.65,96.9,6400
9/14/2018 12:23:00 PM,97.65,98.1,96,96.6,5880
9/14/2018 12:22:00 PM,95.45,99.35,95.45,98.25,13320
9/14/2018 12:21:00 PM,91.6,95,91.6,95,3240
9/14/2018 12:20:00 PM,93.2,93.2,90,91.6,11480
9/14/2018 12:19:00 PM,93.7,94,92,92.8,12120
9/14/2018 12:18:00 PM,95.95,96,94.8,95,12200
9/14/2018 12:17:00 PM,96.5,96.5,94.95,95.6,4720
9/14/2018 12:16:00 PM,92.55,96.5,92.55,96.5,12680
9/14/2018 12:15:00 PM,96.85,96.85,92.1,92.2,8840
9/14/2018 12:14:00 PM,96.3,98,94.85,96.85,12400
9/14/2018 12:13:00 PM,99.5,100.4,95.5,96.3,12440
9/14/2018 12:12:00 PM,98.15,100.8,98.15,99.5,5720
9/14/2018 12:11:00 PM,101.2,101.35,98,98,10640
9/14/2018 12:10:00 PM,99,101.6,96.75,101.6,12320
9/14/2018 12:09:00 PM,96.45,99.7,96.45,99,8600
9/14/2018 12:08:00 PM,95.9,98,95.5,96.45,9320
9/14/2018 12:07:00 PM,93,96.45,93,95.6,15520
9/14/2018 12:06:00 PM,93.1,93.5,89.45,93,22640
9/14/2018 12:05:00 PM,92,93.85,91.95,93.1,15800
9/14/2018 12:04:00 PM,89.1,94.4,88.65,92,32920
9/14/2018 12:03:00 PM,101,103.25,90.25,90.25,49720
9/14/2018 12:02:00 PM,102.65,102.65,100,101,10160
9/14/2018 12:01:00 PM,102.25,104.1,98.7,101.5,27960
9/14/2018 12:00:00 PM,107.3,108,99.1,102.2,46640
9/14/2018 11:59:00 AM,111.9,112.35,107.05,107.7,23840
9/14/2018 11:58:00 AM,114.25,114.9,112,112.55,18920
9/14/2018 11:57:00 AM,110.35,114.5,109.75,114,20440
9/14/2018 11:56:00 AM,113,113,109,109.65,28600
9/14/2018 11:55:00 AM,115.25,116,111.7,111.7,22560
9/14/2018 11:54:00 AM,114.8,118.85,114.2,114.2,29920
9/14/2018 11:53:00 AM,114.55,114.55,111,113,13040
9/14/2018 11:52:00 AM,114.65,115,112.15,114.35,12400
9/14/2018 11:51:00 AM,110,114.8,108.2,113.6,25360
9/14/2018 11:50:00 AM,108.2,111,108.2,110,10080
9/14/2018 11:49:00 AM,110,110,105.75,107.9,22080
9/14/2018 11:48:00 AM,113.65,113.95,108.75,109.45,18160
9/14/2018 11:47:00 AM,111.45,114.25,111.45,113.7,9000
9/14/2018 11:46:00 AM,111.35,114.25,111.25,111.45,26120
9/14/2018 11:45:00 AM,104.75,114.1,104.75,111.6,34880
9/14/2018 11:44:00 AM,105.05,107.45,104.3,104.3,23920
9/14/2018 11:43:00 AM,111.95,113.1,105,105,33440
9/14/2018 11:42:00 AM,113.8,114.25,109.65,111.6,50400
