Date,NTPC-EQ O,NTPC-EQ H,NTPC-EQ L,NTPC-EQ C,NTPC-EQ V
9/14/2018 10:30:00 AM,172,172,171.9,171.95,5261
9/14/2018 10:29:00 AM,171.95,172.05,171.9,172.05,5031
9/14/2018 10:28:00 AM,172,172,171.9,171.95,4261
9/14/2018 10:27:00 AM,172,172,171.95,172,3905
9/14/2018 10:26:00 AM,172,172,171.95,171.95,14744
9/14/2018 10:25:00 AM,172,172,171.95,172,8911
9/14/2018 10:24:00 AM,172,172,171.95,171.95,14067
9/14/2018 10:23:00 AM,171.95,172,171.95,172,25002
9/14/2018 10:22:00 AM,172,172,171.95,171.95,9962
9/14/2018 10:21:00 AM,172,172,171.95,172,3637
9/14/2018 10:20:00 AM,172,172,171.95,172,3506
9/14/2018 10:19:00 AM,172,172,171.95,171.95,4343
9/14/2018 10:18:00 AM,172,172,171.95,172,9083
9/14/2018 10:17:00 AM,171.95,172.1,171.9,172,23924
9/14/2018 10:16:00 AM,171.95,171.95,171.85,171.9,6452
9/14/2018 10:15:00 AM,171.85,171.95,171.85,171.85,5234
9/14/2018 10:14:00 AM,171.9,171.95,171.8,171.9,6768
9/14/2018 10:13:00 AM,171.9,171.95,171.85,171.9,3460
9/14/2018 10:12:00 AM,171.95,172,171.9,171.95,3099
9/14/2018 10:11:00 AM,171.95,172,171.9,172,5099
9/14/2018 10:10:00 AM,171.8,172,171.8,172,22394
9/14/2018 10:09:00 AM,171.95,171.95,171.8,171.85,4207
9/14/2018 10:08:00 AM,171.85,171.95,171.8,171.95,4266
9/14/2018 10:07:00 AM,171.95,171.95,171.75,171.9,4444
9/14/2018 10:06:00 AM,171.85,171.95,171.7,171.95,7745
9/14/2018 10:05:00 AM,171.9,171.9,171.7,171.7,6077
9/14/2018 10:04:00 AM,171.9,171.95,171.75,171.8,4051
9/14/2018 10:03:00 AM,171.95,171.95,171.75,171.75,6397
9/14/2018 10:02:00 AM,171.85,171.95,171.8,171.95,3955
9/14/2018 10:01:00 AM,171.95,171.95,171.8,171.8,3630
9/14/2018 10:00:00 AM,171.9,172,171.8,171.95,9179
9/14/2018 9:59:00 AM,172,172,171.9,171.9,3753
9/14/2018 9:58:00 AM,172,172,171.95,172,6592
9/14/2018 9:57:00 AM,171.95,172.05,171.95,172,8440
9/14/2018 9:56:00 AM,172,172.05,171.85,172,31021
9/14/2018 9:55:00 AM,171.95,172.05,171.9,172.05,9029
9/14/2018 9:54:00 AM,171.95,172.05,171.9,171.95,12267
9/14/2018 9:53:00 AM,172,172,171.9,171.9,9702
9/14/2018 9:52:00 AM,171.9,172,171.9,172,17581
9/14/2018 9:51:00 AM,171.9,172,171.85,171.9,6268
9/14/2018 9:50:00 AM,172,172,171.85,171.9,9177
9/14/2018 9:49:00 AM,172.15,172.2,171.95,171.95,21226
9/14/2018 9:48:00 AM,172.3,172.3,172.15,172.2,6102
9/14/2018 9:47:00 AM,172.15,172.3,172.05,172.3,6429
9/14/2018 9:46:00 AM,172.3,172.3,172.1,172.15,8940
9/14/2018 9:45:00 AM,172,172.3,172,172.3,9474
9/14/2018 9:44:00 AM,172.2,172.2,172,172,5303
9/14/2018 9:43:00 AM,172.05,172.3,172,172.2,13748
9/14/2018 9:42:00 AM,171.85,172.1,171.8,172.05,25138
9/14/2018 9:41:00 AM,172.05,172.2,171.8,171.9,21983
