Date,USDINR18OCTFUT O,USDINR18OCTFUT H,USDINR18OCTFUT L,USDINR18OCTFUT C,USDINR18OCTFUT V
9/14/2018 2:23:00 PM,72.1475,72.16,72.1475,72.1575,142
9/14/2018 2:22:00 PM,72.135,72.1475,72.135,72.1475,306
9/14/2018 2:21:00 PM,72.145,72.145,72.13,72.135,772
9/14/2018 2:20:00 PM,72.175,72.175,72.14,72.145,1773
9/14/2018 2:19:00 PM,72.17,72.175,72.1625,72.175,563
9/14/2018 2:18:00 PM,72.1575,72.17,72.155,72.17,71
9/14/2018 2:17:00 PM,72.17,72.17,72.1575,72.1575,5
9/14/2018 2:16:00 PM,72.1675,72.17,72.1675,72.17,8
9/14/2018 2:15:00 PM,72.17,72.175,72.1675,72.1675,123
9/14/2018 2:14:00 PM,72.175,72.18,72.17,72.17,201
9/14/2018 2:13:00 PM,72.1825,72.1825,72.175,72.175,153
9/14/2018 2:12:00 PM,72.18,72.2,72.18,72.1825,1988
9/14/2018 2:11:00 PM,72.1875,72.1875,72.1775,72.18,176
9/14/2018 2:10:00 PM,72.18,72.19,72.1775,72.1875,152
9/14/2018 2:09:00 PM,72.1775,72.18,72.17,72.18,374
9/14/2018 2:08:00 PM,72.1775,72.185,72.1725,72.1775,255
9/14/2018 2:07:00 PM,72.1525,72.1825,72.15,72.1775,414
9/14/2018 2:06:00 PM,72.165,72.165,72.1525,72.1525,373
9/14/2018 2:05:00 PM,72.1525,72.165,72.1525,72.165,113
9/14/2018 2:04:00 PM,72.145,72.155,72.145,72.1525,940
9/14/2018 2:03:00 PM,72.15,72.15,72.1425,72.145,36
9/14/2018 2:02:00 PM,72.15,72.15,72.145,72.15,2312
9/14/2018 2:01:00 PM,72.1575,72.16,72.1425,72.15,98
9/14/2018 2:00:00 PM,72.155,72.165,72.1525,72.1575,381
9/14/2018 1:59:00 PM,72.1575,72.1575,72.1525,72.155,70
9/14/2018 1:58:00 PM,72.1725,72.1725,72.1575,72.1575,137
9/14/2018 1:57:00 PM,72.1625,72.18,72.1625,72.1725,822
9/14/2018 1:56:00 PM,72.1625,72.1625,72.1475,72.155,167
9/14/2018 1:55:00 PM,72.15,72.1625,72.15,72.1625,876
9/14/2018 1:54:00 PM,72.15,72.1525,72.145,72.15,688
9/14/2018 1:53:00 PM,72.16,72.16,72.15,72.15,1254
9/14/2018 1:52:00 PM,72.1425,72.17,72.1425,72.16,493
9/14/2018 1:51:00 PM,72.1225,72.1525,72.1225,72.145,730
9/14/2018 1:50:00 PM,72.12,72.1225,72.1125,72.1225,1088
9/14/2018 1:49:00 PM,72.1225,72.1225,72.115,72.12,118
9/14/2018 1:48:00 PM,72.125,72.1325,72.12,72.1225,515
9/14/2018 1:47:00 PM,72.11,72.125,72.105,72.125,99
9/14/2018 1:46:00 PM,72.1075,72.1075,72.095,72.1025,1611
9/14/2018 1:45:00 PM,72.105,72.11,72.095,72.1075,1868
9/14/2018 1:44:00 PM,72.11,72.1125,72.1,72.105,1253
9/14/2018 1:43:00 PM,72.105,72.1225,72.1025,72.11,3307
9/14/2018 1:42:00 PM,72.0725,72.1225,72.0725,72.105,2048
9/14/2018 1:41:00 PM,72.0575,72.0725,72.0575,72.0725,203
9/14/2018 1:40:00 PM,72.05,72.07,72.05,72.0575,1610
9/14/2018 1:39:00 PM,72.0375,72.05,72.0375,72.05,176
9/14/2018 1:38:00 PM,72.045,72.045,72.0375,72.0375,589
9/14/2018 1:37:00 PM,72.0425,72.0475,72.04,72.0425,546
9/14/2018 1:36:00 PM,72.0375,72.0475,72.0375,72.0425,841
9/14/2018 1:35:00 PM,72.0525,72.0525,72.0375,72.0375,13
9/14/2018 1:34:00 PM,72.025,72.0525,72.025,72.0525,479
9/14/2018 1:33:00 PM,72.0325,72.0325,72.0225,72.025,987
9/14/2018 1:32:00 PM,72.02,72.0375,72.015,72.0325,216
9/14/2018 1:31:00 PM,72.025,72.03,72.0125,72.015,1257
9/14/2018 1:30:00 PM,72.025,72.03,72.025,72.025,728
9/14/2018 1:29:00 PM,72.0025,72.0275,72.0025,72.025,1104
9/14/2018 1:28:00 PM,72,72.015,72,72.0025,47
9/14/2018 1:27:00 PM,72.0025,72.0075,72,72,41
9/14/2018 1:26:00 PM,72.01,72.01,72.0025,72.0025,438
9/14/2018 1:25:00 PM,72.015,72.02,72.01,72.01,217
9/14/2018 1:24:00 PM,72.0075,72.015,72.0075,72.015,573
9/14/2018 1:23:00 PM,72.0125,72.02,72.0075,72.0075,507
9/14/2018 1:22:00 PM,71.9975,72.015,71.9975,72.0125,5235
9/14/2018 1:21:00 PM,71.995,72,71.995,71.9975,7895
