Date,DRREDDY-EQ O,DRREDDY-EQ H,DRREDDY-EQ L,DRREDDY-EQ C,DRREDDY-EQ V
9/14/2018 1:21:00 PM,2578.95,2579.4,2578.4,2578.55,271
9/14/2018 1:20:00 PM,2579.8,2579.8,2578.35,2578.95,319
9/14/2018 1:19:00 PM,2580,2581,2578.45,2578.45,458
9/14/2018 1:18:00 PM,2578.8,2579.95,2578.5,2578.55,361
9/14/2018 1:17:00 PM,2578.95,2578.95,2578.55,2578.7,269
9/14/2018 1:16:00 PM,2580.25,2580.25,2578.2,2579,482
9/14/2018 1:15:00 PM,2579.3,2580.3,2579,2580,1016
9/14/2018 1:14:00 PM,2580.1,2580.5,2579.3,2579.3,1514
9/14/2018 1:13:00 PM,2582.65,2583,2580.1,2580.1,370
9/14/2018 1:12:00 PM,2584,2584,2582.75,2582.9,588
9/14/2018 1:11:00 PM,2584.75,2584.75,2583.3,2583.3,759
9/14/2018 1:10:00 PM,2583.95,2585,2583.3,2584,1363
9/14/2018 1:09:00 PM,2585,2585,2580.5,2583.3,3267
9/14/2018 1:08:00 PM,2581,2585,2581,2585,3751
9/14/2018 1:07:00 PM,2579.35,2580.8,2579.35,2580.1,1582
9/14/2018 1:06:00 PM,2579.8,2580,2578.75,2579.35,405
9/14/2018 1:05:00 PM,2579,2580,2579,2579.05,734
9/14/2018 1:04:00 PM,2578.25,2579,2577.8,2579,738
9/14/2018 1:03:00 PM,2578.35,2578.4,2577.25,2577.25,371
9/14/2018 1:02:00 PM,2579,2579.7,2577.25,2577.25,1033
9/14/2018 1:01:00 PM,2577.25,2580,2577.25,2579,900
9/14/2018 1:00:00 PM,2580,2580,2577.05,2577.25,1556
9/14/2018 12:59:00 PM,2578.9,2579.7,2577.9,2579.7,378
9/14/2018 12:58:00 PM,2575.75,2578.9,2575.75,2578.9,1787
9/14/2018 12:57:00 PM,2576.5,2576.6,2575.75,2575.75,763
9/14/2018 12:56:00 PM,2579.95,2579.95,2575.75,2575.8,2452
9/14/2018 12:55:00 PM,2579,2579.95,2578.1,2578.65,1629
9/14/2018 12:54:00 PM,2577.5,2579,2577.1,2578,1248
9/14/2018 12:53:00 PM,2577.6,2578,2574,2577.5,2177
9/14/2018 12:52:00 PM,2574.45,2579,2574.45,2578.8,2571
9/14/2018 12:51:00 PM,2574,2574.45,2574,2574.35,191
9/14/2018 12:50:00 PM,2574.5,2574.5,2573.05,2574,495
9/14/2018 12:49:00 PM,2572.15,2575,2572.15,2574.5,1913
