Date,BANKBARODA-EQ O,BANKBARODA-EQ H,BANKBARODA-EQ L,BANKBARODA-EQ C,BANKBARODA-EQ V
9/14/2018 9:48:00 AM,136.05,136.15,135.85,135.85,61289
9/14/2018 9:47:00 AM,136.1,136.2,136,136.05,23547
9/14/2018 9:46:00 AM,136.15,136.2,135.9,136.15,44978
9/14/2018 9:45:00 AM,136.2,136.25,136.1,136.2,21575
9/14/2018 9:44:00 AM,136.25,136.3,136.1,136.15,32949
9/14/2018 9:43:00 AM,136.1,136.3,136.05,136.25,47243
9/14/2018 9:42:00 AM,136,136.15,135.9,136.05,43747
9/14/2018 9:41:00 AM,135.85,136,135.8,135.9,31335
9/14/2018 9:40:00 AM,135.75,135.95,135.65,135.85,54916
9/14/2018 9:39:00 AM,135.8,135.85,135.65,135.75,28279
9/14/2018 9:38:00 AM,135.85,135.95,135.65,135.9,65561
9/14/2018 9:37:00 AM,136.05,136.05,135.8,135.85,34338
9/14/2018 9:36:00 AM,136.1,136.1,135.8,136,63808
9/14/2018 9:35:00 AM,136.2,136.25,136,136.1,38946
9/14/2018 9:34:00 AM,135.95,136.2,135.9,136.1,47504
9/14/2018 9:33:00 AM,136.2,136.2,135.9,136,87223
9/14/2018 9:32:00 AM,136.15,136.3,136.1,136.1,37955
9/14/2018 9:31:00 AM,136.55,136.65,136.15,136.25,107154
9/14/2018 9:30:00 AM,136.35,136.65,136.25,136.5,160365
9/14/2018 9:29:00 AM,135.9,136.35,135.85,136.25,126870
9/14/2018 9:28:00 AM,136,136.1,135.9,135.9,43949
9/14/2018 9:27:00 AM,135.85,136.1,135.85,136,46239
9/14/2018 9:26:00 AM,135.9,136.2,135.85,135.9,183164
9/14/2018 9:25:00 AM,135.85,135.9,135.75,135.85,54824
9/14/2018 9:24:00 AM,136,136,135.65,135.85,107956
9/14/2018 9:23:00 AM,135.75,135.85,135.55,135.8,140949
9/14/2018 9:22:00 AM,135.75,135.9,135.65,135.7,68753
9/14/2018 9:21:00 AM,135.55,135.8,135.5,135.8,71641
9/14/2018 9:20:00 AM,135.35,135.5,135.2,135.5,70899
9/14/2018 9:19:00 AM,135.8,135.8,135.3,135.4,123889
9/14/2018 9:18:00 AM,135.75,135.95,135.7,135.8,97546
9/14/2018 9:17:00 AM,135.7,135.9,135.6,135.75,120507
9/14/2018 9:16:00 AM,135.45,135.7,134.8,135.7,213541
9/14/2018 9:15:00 AM,135.9,135.9,135.3,135.45,468485
