Date,BANKNIFTY18OCTFUT O,BANKNIFTY18OCTFUT H,BANKNIFTY18OCTFUT L,BANKNIFTY18OCTFUT C,BANKNIFTY18OCTFUT V
9/14/2018 1:03:00 PM,27284.95,27284.95,27269.4,27269.4,240
9/14/2018 1:02:00 PM,27280,27285,27280,27284.95,360
9/14/2018 1:01:00 PM,27265,27280,27265,27280,2560
9/14/2018 1:00:00 PM,27242.95,27265,27242.95,27265,1320
9/14/2018 12:59:00 PM,27242.95,27242.95,27242.95,27242.95,0
9/14/2018 12:58:00 PM,27242.95,27242.95,27242.95,27242.95,0
9/14/2018 12:57:00 PM,27242.95,27242.95,27242.95,27242.95,0
9/14/2018 12:56:00 PM,27236.65,27242.95,27236.65,27242.95,40
9/14/2018 12:55:00 PM,27236.65,27236.65,27236.65,27236.65,0
9/14/2018 12:54:00 PM,27236.65,27236.65,27236.65,27236.65,0
9/14/2018 12:53:00 PM,27236.65,27236.65,27236.65,27236.65,0
9/14/2018 12:52:00 PM,27236.65,27236.65,27236.65,27236.65,0
9/14/2018 12:51:00 PM,27236.65,27236.65,27236.65,27236.65,0
9/14/2018 12:50:00 PM,27238.3,27238.3,27236.65,27236.65,40
9/14/2018 12:49:00 PM,27238.3,27238.3,27238.3,27238.3,0
9/14/2018 12:48:00 PM,27232.25,27238.75,27232.25,27238.3,240
9/14/2018 12:47:00 PM,27230,27232.25,27230,27232.25,40
9/14/2018 12:46:00 PM,27225,27230,27225,27230,40
9/14/2018 12:45:00 PM,27240,27240,27225,27225,40
9/14/2018 12:44:00 PM,27240,27240,27240,27240,0
9/14/2018 12:43:00 PM,27240,27240,27240,27240,0
9/14/2018 12:42:00 PM,27240,27240,27240,27240,360
9/14/2018 12:41:00 PM,27237.2,27240,27237.2,27240,640
9/14/2018 12:40:00 PM,27237.2,27237.2,27237.2,27237.2,0
9/14/2018 12:39:00 PM,27237.2,27237.2,27237.2,27237.2,0
9/14/2018 12:38:00 PM,27237.2,27237.2,27237.2,27237.2,0
9/14/2018 12:37:00 PM,27230,27237.2,27230,27237.2,40
9/14/2018 12:36:00 PM,27230,27230,27230,27230,0
9/14/2018 12:35:00 PM,27230,27230,27230,27230,0
9/14/2018 12:34:00 PM,27230,27230,27230,27230,0
9/14/2018 12:33:00 PM,27235,27235,27230,27230,40
