Date,YESBANK-EQ O,YESBANK-EQ H,YESBANK-EQ L,YESBANK-EQ C,YESBANK-EQ V
9/14/2018 11:28:00 AM,324.75,324.75,324.6,324.65,22582
9/14/2018 11:27:00 AM,324.55,324.6,324.45,324.55,31789
9/14/2018 11:26:00 AM,324.45,324.8,324.45,324.65,34311
9/14/2018 11:25:00 AM,324.4,324.45,324.35,324.45,36918
9/14/2018 11:24:00 AM,324.3,324.45,324.2,324.35,29176
9/14/2018 11:23:00 AM,324.1,324.35,324.05,324.25,82381
9/14/2018 11:22:00 AM,324.6,324.65,324.05,324.15,124265
9/14/2018 11:21:00 AM,324.9,324.9,324.6,324.65,41096
9/14/2018 11:20:00 AM,324.95,325.05,324.85,324.9,40953
9/14/2018 11:19:00 AM,324.85,325.1,324.8,325,21201
9/14/2018 11:18:00 AM,325.1,325.1,324.75,324.8,51429
9/14/2018 11:17:00 AM,325.1,325.2,325.05,325.1,18827
9/14/2018 11:16:00 AM,324.8,325.25,324.8,325.1,52006
9/14/2018 11:15:00 AM,324.75,324.9,324.6,324.9,90904
9/14/2018 11:14:00 AM,324.9,325,324.5,324.8,132202
9/14/2018 11:13:00 AM,325.35,325.35,324.65,324.9,183998
9/14/2018 11:12:00 AM,325.85,325.85,325.1,325.35,131843
9/14/2018 11:11:00 AM,325.9,325.95,325.8,325.85,16389
9/14/2018 11:10:00 AM,325.85,325.95,325.75,325.9,27636
9/14/2018 11:09:00 AM,325.75,325.9,325.75,325.8,18269
9/14/2018 11:08:00 AM,325.9,326,325.75,325.75,41914
9/14/2018 11:07:00 AM,325.8,326,325.75,326,25504
9/14/2018 11:06:00 AM,325.85,325.9,325.7,325.75,58175
9/14/2018 11:05:00 AM,326.1,326.2,325.85,325.85,37275
9/14/2018 11:04:00 AM,326,326.25,325.95,326.15,18349
9/14/2018 11:03:00 AM,325.95,326.1,325.95,326.05,46992
9/14/2018 11:02:00 AM,325.85,326.05,325.8,325.9,56915
9/14/2018 11:01:00 AM,325.95,325.95,325.85,325.85,34116
9/14/2018 11:00:00 AM,325.95,326,325.9,325.95,16029
9/14/2018 10:59:00 AM,326.1,326.15,325.9,325.95,33926
9/14/2018 10:58:00 AM,325.9,326.2,325.9,326.1,24475
9/14/2018 10:57:00 AM,325.75,326,325.75,325.9,43086
9/14/2018 10:56:00 AM,325.8,325.85,325.75,325.75,48024
9/14/2018 10:55:00 AM,325.8,325.9,325.75,325.8,32008
9/14/2018 10:54:00 AM,326.25,326.4,325.8,325.8,53400
9/14/2018 10:53:00 AM,326.35,326.75,326.25,326.25,61009
9/14/2018 10:52:00 AM,325.6,326.5,325.6,326.4,80153
9/14/2018 10:51:00 AM,325.7,325.8,325.5,325.7,80155
9/14/2018 10:50:00 AM,325.85,326,325.55,325.75,141361
9/14/2018 10:49:00 AM,326.1,326.2,325.85,325.9,125866
9/14/2018 10:48:00 AM,326.3,326.4,326.1,326.1,85649
9/14/2018 10:47:00 AM,326.4,326.5,326.25,326.3,45656
9/14/2018 10:46:00 AM,326.5,326.7,326.25,326.3,59773
9/14/2018 10:45:00 AM,326.3,326.9,326.3,326.65,93461
9/14/2018 10:44:00 AM,327.2,327.45,326.4,326.45,169660
9/14/2018 10:43:00 AM,327.05,327.35,327.05,327.3,71666
9/14/2018 10:42:00 AM,327,327.5,327,327.05,144240
9/14/2018 10:41:00 AM,326.95,327.15,326.7,327,84256
9/14/2018 10:40:00 AM,326.7,327.25,326.5,327,230906
9/14/2018 10:39:00 AM,326.7,326.95,326.55,326.65,81023
9/14/2018 10:38:00 AM,327.05,327.25,326.7,326.7,111173
9/14/2018 10:37:00 AM,326.1,327.4,326.1,327.25,1329985
9/14/2018 10:36:00 AM,326.1,326.2,326.05,326.1,68798
9/14/2018 10:35:00 AM,326.1,326.1,326,326.05,149162
9/14/2018 10:34:00 AM,326.1,326.2,326.05,326.05,96293
9/14/2018 10:33:00 AM,326.2,326.2,326.05,326.1,97129
9/14/2018 10:32:00 AM,326.15,326.35,326.15,326.3,65841
9/14/2018 10:31:00 AM,326.05,326.4,326.05,326.15,135333
9/14/2018 10:30:00 AM,326.1,326.15,326,326.05,131469
9/14/2018 10:29:00 AM,326.05,326.25,326.05,326.1,89103
9/14/2018 10:28:00 AM,326.35,326.35,326,326.05,106442
9/14/2018 10:27:00 AM,325.7,326.55,325.55,326.4,222249
9/14/2018 10:26:00 AM,325.5,325.8,325.5,325.7,56128
9/14/2018 10:25:00 AM,325.85,325.95,325.5,325.5,68153
9/14/2018 10:24:00 AM,325.8,326.15,325.6,325.85,175835
9/14/2018 10:23:00 AM,325.25,325.9,325.25,325.8,88416
9/14/2018 10:22:00 AM,325.8,325.85,325,325.15,132497
9/14/2018 10:21:00 AM,326.05,326.2,325.45,325.8,110540
9/14/2018 10:20:00 AM,326,326.15,325.7,326,122317
9/14/2018 10:19:00 AM,325.65,326.2,325.3,326,222723
9/14/2018 10:18:00 AM,325.5,325.8,325.4,325.7,158713
9/14/2018 10:17:00 AM,325.55,325.8,325.55,325.65,96723
9/14/2018 10:16:00 AM,325,326,325,325.75,294707
9/14/2018 10:15:00 AM,324.9,325.2,324.75,325,62112
9/14/2018 10:14:00 AM,324.55,325.3,324.5,324.8,204886
9/14/2018 10:13:00 AM,324.55,324.75,324.5,324.6,42688
9/14/2018 10:12:00 AM,324.25,324.8,324.2,324.6,110163
9/14/2018 10:11:00 AM,324.3,324.45,324.05,324.25,73367
9/14/2018 10:10:00 AM,324.3,324.55,323.75,324.45,131138
9/14/2018 10:09:00 AM,325.1,325.15,324.2,324.2,294554
9/14/2018 10:08:00 AM,324.2,325.1,324.1,325.1,1508875
9/14/2018 10:07:00 AM,323.65,324.3,323.6,324.2,121654
9/14/2018 10:06:00 AM,324.05,324.05,323.5,323.7,83307
9/14/2018 10:05:00 AM,324.05,324.05,323.9,324.05,160142
9/14/2018 10:04:00 AM,324.15,324.3,324.05,324.1,157051
9/14/2018 10:03:00 AM,324.15,324.2,324.1,324.15,143965
9/14/2018 10:02:00 AM,324,324.2,324,324.15,160785
9/14/2018 10:01:00 AM,324.15,324.3,324,324,292244
9/14/2018 10:00:00 AM,323.3,324.3,323.3,324.1,370705
