Date,TCS-EQ O,TCS-EQ H,TCS-EQ L,TCS-EQ C,TCS-EQ V
9/14/2018 1:28:00 PM,2035.05,2035.15,2034.9,2035,6247
9/14/2018 1:27:00 PM,2035.35,2035.35,2035,2035.1,5012
9/14/2018 1:26:00 PM,2035.25,2036.25,2035.05,2035.4,6609
9/14/2018 1:25:00 PM,2036.2,2036.35,2035,2035.2,3420
9/14/2018 1:24:00 PM,2035.5,2036.5,2035.5,2036.4,5302
9/14/2018 1:23:00 PM,2035.05,2035.5,2035.05,2035.5,5111
9/14/2018 1:22:00 PM,2035.05,2035.1,2035,2035,2923
9/14/2018 1:21:00 PM,2035.4,2035.45,2034.9,2035.05,5118
9/14/2018 1:20:00 PM,2034.95,2035.45,2034.95,2035.45,3502
9/14/2018 1:19:00 PM,2036.15,2036.2,2034.8,2035,8471
9/14/2018 1:18:00 PM,2036.25,2036.3,2036.05,2036.15,3546
9/14/2018 1:17:00 PM,2035.9,2036.3,2035.8,2036.3,3193
9/14/2018 1:16:00 PM,2035.05,2035.9,2035.05,2035.7,5725
9/14/2018 1:15:00 PM,2036,2036.05,2035,2035.05,5200
9/14/2018 1:14:00 PM,2035.35,2036.2,2035.35,2036,5054
9/14/2018 1:13:00 PM,2037.65,2037.65,2035.1,2035.35,4978
9/14/2018 1:12:00 PM,2035.25,2037.85,2035.25,2037.25,3867
9/14/2018 1:11:00 PM,2034.2,2035.3,2034.15,2035.25,5307
9/14/2018 1:10:00 PM,2034.05,2034.2,2034,2034.15,6215
9/14/2018 1:09:00 PM,2034.7,2034.7,2033.1,2034.05,5420
9/14/2018 1:08:00 PM,2035.15,2035.2,2034.65,2034.65,4405
9/14/2018 1:07:00 PM,2035.2,2035.25,2035.05,2035.15,4020
9/14/2018 1:06:00 PM,2035.2,2035.25,2035.15,2035.2,2390
9/14/2018 1:05:00 PM,2035.05,2035.25,2035,2035.15,6959
9/14/2018 1:04:00 PM,2035,2035.05,2035,2035.05,2610
9/14/2018 1:03:00 PM,2035,2035.05,2035,2035,3874
9/14/2018 1:02:00 PM,2035,2035.05,2035,2035,2530
9/14/2018 1:01:00 PM,2035,2035.05,2035,2035,3116
9/14/2018 1:00:00 PM,2035,2035.05,2034.85,2035.05,3708
9/14/2018 12:59:00 PM,2035,2035.05,2034.95,2035,12996
9/14/2018 12:58:00 PM,2035.05,2035.05,2035,2035,6180
9/14/2018 12:57:00 PM,2035.05,2035.05,2034.95,2035,3766
9/14/2018 12:56:00 PM,2035.05,2035.1,2034.95,2035,3875
9/14/2018 12:55:00 PM,2035,2035.1,2035,2035.05,3288
9/14/2018 12:54:00 PM,2035.05,2035.1,2034.9,2035,5213
9/14/2018 12:53:00 PM,2035,2035.05,2034.7,2035,5815
9/14/2018 12:52:00 PM,2035,2035.05,2034.9,2035,4422
9/14/2018 12:51:00 PM,2035.1,2035.15,2034.9,2035,6749
9/14/2018 12:50:00 PM,2035,2035.1,2035,2035.1,4664
9/14/2018 12:49:00 PM,2035,2035.05,2035,2035,6475
9/14/2018 12:48:00 PM,2035.05,2035.05,2034.8,2035,5487
9/14/2018 12:47:00 PM,2035,2035.1,2034.95,2035.05,5188
9/14/2018 12:46:00 PM,2035.15,2035.2,2034.7,2034.95,8727
9/14/2018 12:45:00 PM,2034.95,2035.05,2034.1,2035,12198
9/14/2018 12:44:00 PM,2035.15,2035.3,2035,2035,5755
9/14/2018 12:43:00 PM,2035.05,2035.5,2035.05,2035.15,2500
9/14/2018 12:42:00 PM,2034.85,2035.25,2034.25,2035.05,8239
9/14/2018 12:41:00 PM,2035.05,2035.1,2034.3,2034.5,11063
9/14/2018 12:40:00 PM,2035.05,2035.1,2034.55,2035.05,3817
9/14/2018 12:39:00 PM,2035,2035.25,2035,2035,5843
9/14/2018 12:38:00 PM,2035.6,2035.65,2034.85,2035,4861
9/14/2018 12:37:00 PM,2035,2035.8,2035,2035.5,5179
9/14/2018 12:36:00 PM,2035,2035.05,2035,2035,2977
9/14/2018 12:35:00 PM,2035.1,2035.2,2034.5,2035,7075
9/14/2018 12:34:00 PM,2035,2035.2,2034.8,2035.1,4311
9/14/2018 12:33:00 PM,2034.9,2035.4,2034.75,2035,6168
9/14/2018 12:32:00 PM,2035.1,2035.1,2033.7,2034.9,19574
9/14/2018 12:31:00 PM,2035.35,2035.45,2035,2035,6405
9/14/2018 12:30:00 PM,2035.15,2035.4,2035.1,2035.35,3693
9/14/2018 12:29:00 PM,2035,2035.2,2035,2035.1,4682
9/14/2018 12:28:00 PM,2035.05,2035.1,2034.95,2035,4896
9/14/2018 12:27:00 PM,2035.05,2035.05,2034.9,2035,3467
9/14/2018 12:26:00 PM,2035,2035.1,2035,2035,2838
9/14/2018 12:25:00 PM,2035.05,2035.05,2035,2035.05,5814
9/14/2018 12:24:00 PM,2035.05,2035.1,2034.9,2035,4780
9/14/2018 12:23:00 PM,2035.05,2035.05,2035,2035,2888
9/14/2018 12:22:00 PM,2035.05,2035.1,2034.9,2035,5829
9/14/2018 12:21:00 PM,2034.45,2035.1,2034.45,2035,4583
9/14/2018 12:20:00 PM,2034.5,2034.55,2034.45,2034.45,2404
9/14/2018 12:19:00 PM,2035.75,2035.75,2034.5,2034.5,4201
9/14/2018 12:18:00 PM,2035.55,2035.75,2035.55,2035.7,3100
9/14/2018 12:17:00 PM,2035,2035.85,2035,2035.6,3424
9/14/2018 12:16:00 PM,2036.75,2036.85,2035,2035,5225
9/14/2018 12:15:00 PM,2036.65,2036.9,2036.6,2036.75,4126
9/14/2018 12:14:00 PM,2036.5,2036.7,2036.5,2036.6,3687
9/14/2018 12:13:00 PM,2036.45,2036.55,2036.4,2036.45,2852
9/14/2018 12:12:00 PM,2036.3,2036.45,2036.15,2036.45,2962
9/14/2018 12:11:00 PM,2036.05,2036.35,2036.05,2036.15,3592
9/14/2018 12:10:00 PM,2036,2036.1,2035.5,2036.05,5296
9/14/2018 12:09:00 PM,2035.55,2036.5,2035.55,2036,5745
9/14/2018 12:08:00 PM,2035.4,2036.05,2035.4,2035.5,4573
9/14/2018 12:07:00 PM,2035.25,2035.45,2035,2035.4,4334
9/14/2018 12:06:00 PM,2035.1,2037,2035.1,2035.35,7817
9/14/2018 12:05:00 PM,2035.1,2035.2,2035.1,2035.1,2472
9/14/2018 12:04:00 PM,2035,2035.15,2034.95,2035.1,8509
9/14/2018 12:03:00 PM,2035,2035.1,2035,2035,4478
9/14/2018 12:02:00 PM,2035.2,2035.25,2034.8,2035,4520
9/14/2018 12:01:00 PM,2034.85,2035.25,2034.85,2035.25,4299
9/14/2018 12:00:00 PM,2034.75,2035,2034.65,2034.85,5112
9/14/2018 11:59:00 AM,2035.15,2035.3,2034.9,2035,3598
9/14/2018 11:58:00 AM,2035.55,2035.7,2035,2035.1,3789
9/14/2018 11:57:00 AM,2035.45,2035.7,2035,2035.55,120953
9/14/2018 11:56:00 AM,2034.55,2036,2034.55,2035.45,5463
9/14/2018 11:55:00 AM,2034,2034.55,2034,2034.5,2645
9/14/2018 11:54:00 AM,2034.15,2034.15,2033.6,2034,4757
9/14/2018 11:53:00 AM,2033.95,2034.9,2033.95,2034.1,6826
9/14/2018 11:52:00 AM,2033.95,2034,2033.9,2033.95,2321
9/14/2018 11:51:00 AM,2035,2035.05,2033.9,2033.9,7567
9/14/2018 11:50:00 AM,2036.25,2036.6,2035,2035,2964
9/14/2018 11:49:00 AM,2035,2036.2,2034.95,2036.2,7242
9/14/2018 11:48:00 AM,2035.15,2035.15,2034.9,2035,3705
9/14/2018 11:47:00 AM,2036.05,2036.15,2035,2035.2,3393
9/14/2018 11:46:00 AM,2035.8,2036.25,2034.5,2036,5016
9/14/2018 11:45:00 AM,2038.05,2038.05,2035,2035.8,6769
9/14/2018 11:44:00 AM,2037.3,2038.45,2037.3,2038.05,5993
9/14/2018 11:43:00 AM,2037.9,2037.9,2037.1,2037.3,9467
9/14/2018 11:42:00 AM,2037.1,2038,2037.1,2037.9,4065
9/14/2018 11:41:00 AM,2036.1,2037.1,2036.1,2037.05,2985
9/14/2018 11:40:00 AM,2035.6,2036.2,2035.6,2036.1,4287
9/14/2018 11:39:00 AM,2034.1,2035.75,2034.1,2035.7,6620
9/14/2018 11:38:00 AM,2034.4,2034.5,2034,2034.1,4873
9/14/2018 11:37:00 AM,2033.6,2034.4,2033.5,2034.4,5194
9/14/2018 11:36:00 AM,2035.4,2035.45,2033.8,2033.85,56118
9/14/2018 11:35:00 AM,2035.5,2035.5,2035.35,2035.4,3008
9/14/2018 11:34:00 AM,2035.7,2035.85,2035.3,2035.5,3481
9/14/2018 11:33:00 AM,2035.35,2035.7,2035.35,2035.7,3024
9/14/2018 11:32:00 AM,2034.05,2035.5,2034.05,2035.4,4262
9/14/2018 11:31:00 AM,2035.4,2035.4,2033.45,2034.05,16251
9/14/2018 11:30:00 AM,2035.55,2035.95,2035.25,2035.4,4454
9/14/2018 11:29:00 AM,2037.3,2037.4,2035.55,2035.55,5200
9/14/2018 11:28:00 AM,2037.3,2037.3,2037.25,2037.25,2941
9/14/2018 11:27:00 AM,2037.25,2037.3,2037.25,2037.25,1844
9/14/2018 11:26:00 AM,2038.65,2039.55,2037.1,2037.3,7243
9/14/2018 11:25:00 AM,2039.65,2039.65,2038.3,2038.65,3479
9/14/2018 11:24:00 AM,2041.05,2041.3,2039.75,2039.75,5672
9/14/2018 11:23:00 AM,2040.75,2041.25,2039,2041,8635
9/14/2018 11:22:00 AM,2041.15,2041.2,2039.05,2040.2,7356
9/14/2018 11:21:00 AM,2041.3,2041.3,2039,2041.2,8201
9/14/2018 11:20:00 AM,2039.5,2041.4,2039.4,2041.25,7660
9/14/2018 11:19:00 AM,2040.6,2041.7,2039.5,2039.5,8626
9/14/2018 11:18:00 AM,2040.65,2041.7,2040,2040.4,8041
9/14/2018 11:17:00 AM,2040.7,2040.7,2040.65,2040.65,7625
9/14/2018 11:16:00 AM,2040.35,2040.75,2040.35,2040.65,10791
9/14/2018 11:15:00 AM,2040.3,2040.4,2040.3,2040.4,2925
9/14/2018 11:14:00 AM,2040.9,2040.9,2040,2040.3,4018
9/14/2018 11:13:00 AM,2040.95,2041,2040.65,2040.7,9989
9/14/2018 11:12:00 AM,2040.45,2041,2040.4,2040.95,3288
9/14/2018 11:11:00 AM,2040.1,2040.65,2040.1,2040.45,11013
9/14/2018 11:10:00 AM,2040.1,2040.15,2040.1,2040.15,2577
9/14/2018 11:09:00 AM,2040.25,2040.25,2040.1,2040.1,2261
9/14/2018 11:08:00 AM,2040.85,2040.9,2040,2040,5078
9/14/2018 11:07:00 AM,2040.95,2041.05,2040.85,2040.85,10122
9/14/2018 11:06:00 AM,2041,2041,2040.9,2040.9,3616
9/14/2018 11:05:00 AM,2041.4,2041.7,2040.9,2041,5439
9/14/2018 11:04:00 AM,2039.7,2041.6,2039.7,2041.15,6880
9/14/2018 11:03:00 AM,2039,2039.9,2039,2039.7,3829
9/14/2018 11:02:00 AM,2038.75,2039.15,2038.75,2039.05,4947
9/14/2018 11:01:00 AM,2038.45,2038.8,2038.45,2038.8,3384
9/14/2018 11:00:00 AM,2038.35,2038.5,2038.3,2038.5,4505
9/14/2018 10:59:00 AM,2038.4,2038.4,2038.2,2038.3,2781
9/14/2018 10:58:00 AM,2038.65,2038.7,2038.15,2038.15,5516
9/14/2018 10:57:00 AM,2038.6,2038.65,2038.6,2038.6,1751
9/14/2018 10:56:00 AM,2038.85,2038.9,2038.5,2038.65,3809
9/14/2018 10:55:00 AM,2038.75,2038.9,2038.75,2038.85,3513
9/14/2018 10:54:00 AM,2038.75,2038.75,2038.7,2038.75,3273
9/14/2018 10:53:00 AM,2039.2,2039.25,2038.6,2038.75,3581
