Date,DIVISLAB-EQ O,DIVISLAB-EQ H,DIVISLAB-EQ L,DIVISLAB-EQ C,DIVISLAB-EQ V
9/14/2018 1:27:00 PM,1314.3,1316.65,1314.3,1316.6,6048
9/14/2018 1:26:00 PM,1313.75,1314.5,1313.75,1313.75,2065
9/14/2018 1:25:00 PM,1313.95,1314.2,1313.5,1313.75,2541
9/14/2018 1:24:00 PM,1313.85,1314.5,1313.55,1313.95,4054
9/14/2018 1:23:00 PM,1314.95,1314.95,1313.85,1313.85,2684
9/14/2018 1:22:00 PM,1314.5,1315,1314.5,1314.95,1637
9/14/2018 1:21:00 PM,1314,1315,1313.65,1314.5,1194
9/14/2018 1:20:00 PM,1314.95,1315,1313.4,1314,3808
9/14/2018 1:19:00 PM,1315.05,1315.35,1314.25,1314.95,3331
9/14/2018 1:18:00 PM,1315.65,1315.7,1313.1,1315.05,17978
9/14/2018 1:17:00 PM,1315.15,1315.9,1315,1315.65,1851
9/14/2018 1:16:00 PM,1315.25,1316,1315.15,1315.15,2335
9/14/2018 1:15:00 PM,1315.9,1316.2,1315.25,1315.25,2140
9/14/2018 1:14:00 PM,1315.05,1315.9,1315,1315.9,2647
9/14/2018 1:13:00 PM,1316.4,1316.4,1315,1315.05,10229
9/14/2018 1:12:00 PM,1316.5,1316.75,1316.25,1316.35,1623
9/14/2018 1:11:00 PM,1316.5,1317.2,1316.45,1316.5,1982
9/14/2018 1:10:00 PM,1317.75,1318,1316.5,1316.5,1520
9/14/2018 1:09:00 PM,1317.95,1318.4,1317.75,1318,3384
9/14/2018 1:08:00 PM,1317.75,1317.85,1316.85,1317.85,1615
9/14/2018 1:07:00 PM,1317.35,1317.95,1316.5,1317.75,1621
9/14/2018 1:06:00 PM,1317.95,1318,1317.35,1317.35,2815
9/14/2018 1:05:00 PM,1316.65,1317.95,1316,1317.95,5294
9/14/2018 1:04:00 PM,1317.45,1317.5,1315,1317,9424
9/14/2018 1:03:00 PM,1318,1318,1316.5,1317.45,2539
9/14/2018 1:02:00 PM,1317.1,1318,1317.1,1318,3249
9/14/2018 1:01:00 PM,1316.25,1317.1,1316,1317.1,1466
9/14/2018 1:00:00 PM,1317.65,1317.9,1316.25,1316.25,2105
9/14/2018 12:59:00 PM,1317.6,1318,1316.4,1317.65,4438
9/14/2018 12:58:00 PM,1316.45,1318.25,1316.45,1317.6,1432
9/14/2018 12:57:00 PM,1316,1317.55,1316,1316.45,2720
9/14/2018 12:56:00 PM,1318,1318,1316.45,1316.45,3039
9/14/2018 12:55:00 PM,1317.75,1318.4,1316.8,1318,3497
9/14/2018 12:54:00 PM,1317,1318,1317,1317.75,3541
9/14/2018 12:53:00 PM,1316.5,1317.8,1316.1,1317,5157
9/14/2018 12:52:00 PM,1317.1,1317.1,1316.15,1316.5,1447
9/14/2018 12:51:00 PM,1317,1317.75,1316,1317.1,11591
