Date,ICICIBANK-EQ O,ICICIBANK-EQ H,ICICIBANK-EQ L,ICICIBANK-EQ C,ICICIBANK-EQ V
9/14/2018 1:28:00 PM,326.3,326.3,326.15,326.2,7939
9/14/2018 1:27:00 PM,326.3,326.3,326.1,326.2,19789
9/14/2018 1:26:00 PM,326,326.3,325.85,326.1,51221
9/14/2018 1:25:00 PM,325.8,326,325.65,325.85,66016
9/14/2018 1:24:00 PM,325.35,325.8,325.35,325.6,553230
9/14/2018 1:23:00 PM,325.15,325.4,325.15,325.2,39202
9/14/2018 1:22:00 PM,325.15,325.2,325.05,325.2,13917
9/14/2018 1:21:00 PM,325.45,325.5,325.15,325.15,27878
9/14/2018 1:20:00 PM,325.65,325.65,325.45,325.45,10926
9/14/2018 1:19:00 PM,325.45,325.6,325.35,325.55,13610
9/14/2018 1:18:00 PM,325.6,325.6,325.3,325.3,9284
9/14/2018 1:17:00 PM,325.8,325.8,325.4,325.4,17754
9/14/2018 1:16:00 PM,325.6,325.8,325.6,325.7,27826
9/14/2018 1:15:00 PM,325.35,325.7,325.3,325.7,9314
9/14/2018 1:14:00 PM,325.25,325.4,325.2,325.3,11956
9/14/2018 1:13:00 PM,325.4,325.4,325.2,325.25,13067
9/14/2018 1:12:00 PM,325.6,325.65,325.15,325.3,50126
9/14/2018 1:11:00 PM,325.5,325.8,325.5,325.65,22750
9/14/2018 1:10:00 PM,325.55,325.7,325.45,325.5,28044
9/14/2018 1:09:00 PM,325.7,325.8,325.5,325.5,18510
9/14/2018 1:08:00 PM,325.75,325.85,325.65,325.8,9364
9/14/2018 1:07:00 PM,325.95,325.95,325.6,325.7,9726
9/14/2018 1:06:00 PM,325.95,325.95,325.8,325.95,22956
9/14/2018 1:05:00 PM,325.75,325.95,325.7,325.95,27751
9/14/2018 1:04:00 PM,325.75,325.8,325.65,325.7,11458
9/14/2018 1:03:00 PM,325.85,325.85,325.7,325.75,19395
9/14/2018 1:02:00 PM,326,326,325.8,325.85,28574
9/14/2018 1:01:00 PM,325.8,326,325.8,326,19781
9/14/2018 1:00:00 PM,325.5,325.95,325.5,325.75,30232
9/14/2018 12:59:00 PM,325.4,325.5,325.35,325.5,12681
9/14/2018 12:58:00 PM,325.3,325.4,325.2,325.35,10439
9/14/2018 12:57:00 PM,325.25,325.45,325.15,325.3,16155
9/14/2018 12:56:00 PM,325.2,325.25,325.15,325.25,11872
9/14/2018 12:55:00 PM,325.1,325.2,325.05,325.2,12548
9/14/2018 12:54:00 PM,325.05,325.1,325.05,325.05,8439
9/14/2018 12:53:00 PM,325.05,325.2,325,325.1,12867
9/14/2018 12:52:00 PM,325,325.05,324.95,325.05,6608
9/14/2018 12:51:00 PM,325,325.1,324.95,325,12270
9/14/2018 12:50:00 PM,325,325,324.85,325,7029
9/14/2018 12:49:00 PM,324.9,325,324.85,325,7028
9/14/2018 12:48:00 PM,324.9,324.9,324.8,324.85,4396
9/14/2018 12:47:00 PM,324.85,324.9,324.75,324.85,6241
9/14/2018 12:46:00 PM,324.8,324.9,324.7,324.75,8129
9/14/2018 12:45:00 PM,325.05,325.05,324.7,324.8,15588
9/14/2018 12:44:00 PM,325.1,325.15,325,325,7631
9/14/2018 12:43:00 PM,325.15,325.2,325,325,5268
9/14/2018 12:42:00 PM,325.1,325.15,325,325.1,6782
9/14/2018 12:41:00 PM,324.95,325.1,324.95,325.1,12451
9/14/2018 12:40:00 PM,324.9,324.95,324.8,324.9,9515
9/14/2018 12:39:00 PM,324.9,324.9,324.8,324.85,7831
9/14/2018 12:38:00 PM,324.8,325,324.75,324.9,19962
9/14/2018 12:37:00 PM,324.65,324.8,324.65,324.8,7052
9/14/2018 12:36:00 PM,324.9,324.9,324.5,324.7,15046
9/14/2018 12:35:00 PM,325,325,324.9,324.9,13659
9/14/2018 12:34:00 PM,324.85,325,324.85,324.95,8395
9/14/2018 12:33:00 PM,324.75,324.9,324.65,324.85,14945
9/14/2018 12:32:00 PM,324.65,324.65,324.5,324.65,16987
9/14/2018 12:31:00 PM,324.75,324.8,324.6,324.65,10722
9/14/2018 12:30:00 PM,325.05,325.05,324.75,324.8,10751
9/14/2018 12:29:00 PM,325.15,325.25,325.05,325.05,10230
9/14/2018 12:28:00 PM,325.35,325.4,325.1,325.15,20363
9/14/2018 12:27:00 PM,325.2,325.55,325.2,325.35,42627
9/14/2018 12:26:00 PM,325.25,325.3,325.15,325.2,29967
9/14/2018 12:25:00 PM,325.05,325.2,325,325.2,10228
9/14/2018 12:24:00 PM,325,325.15,324.95,325.05,12779
9/14/2018 12:23:00 PM,324.8,325,324.8,325,7281
9/14/2018 12:22:00 PM,324.9,324.9,324.65,324.8,12555
9/14/2018 12:21:00 PM,325,325,324.8,324.8,6835
9/14/2018 12:20:00 PM,324.85,325,324.85,325,9478
9/14/2018 12:19:00 PM,325,325,324.85,325,11828
9/14/2018 12:18:00 PM,325,325,324.85,324.95,12009
9/14/2018 12:17:00 PM,324.9,325,324.8,325,9920
9/14/2018 12:16:00 PM,325,325,324.8,324.85,5597
9/14/2018 12:15:00 PM,324.65,325,324.65,325,36695
9/14/2018 12:14:00 PM,324.75,324.85,324.6,324.75,9918
9/14/2018 12:13:00 PM,324.5,324.8,324.15,324.65,33060
9/14/2018 12:12:00 PM,324.8,324.8,324.5,324.5,19866
9/14/2018 12:11:00 PM,324.65,324.8,324.65,324.8,6431
9/14/2018 12:10:00 PM,325.1,325.1,324.65,324.65,10197
9/14/2018 12:09:00 PM,325.3,325.3,325,325,6793
9/14/2018 12:08:00 PM,325.3,325.35,325.2,325.3,10680
9/14/2018 12:07:00 PM,325.35,325.35,325.3,325.35,3906
9/14/2018 12:06:00 PM,325.6,325.6,325.35,325.35,11644
9/14/2018 12:05:00 PM,325.6,325.6,325.55,325.55,4810
9/14/2018 12:04:00 PM,325.7,325.95,325.5,325.6,18465
9/14/2018 12:03:00 PM,325.35,325.75,325.25,325.65,18907
9/14/2018 12:02:00 PM,325.2,325.35,325.1,325.35,11942
9/14/2018 12:01:00 PM,324.9,325.3,324.9,325.1,9687
9/14/2018 12:00:00 PM,324.9,325.25,324.9,325,28702
9/14/2018 11:59:00 AM,324.9,324.95,324.7,324.9,13798
9/14/2018 11:58:00 AM,324.9,325,324.9,324.9,6601
9/14/2018 11:57:00 AM,325.2,325.2,324.9,324.9,15499
9/14/2018 11:56:00 AM,324.85,325.2,324.85,325.2,36706
9/14/2018 11:55:00 AM,324.7,324.9,324.7,324.9,8096
9/14/2018 11:54:00 AM,324.75,324.85,324.7,324.7,11995
9/14/2018 11:53:00 AM,324.8,324.85,324.75,324.75,9792
9/14/2018 11:52:00 AM,324.7,324.85,324.7,324.8,5637
9/14/2018 11:51:00 AM,324.8,324.85,324.7,324.7,50666
9/14/2018 11:50:00 AM,324.85,324.9,324.7,324.8,11912
9/14/2018 11:49:00 AM,324.8,324.85,324.7,324.85,10742
9/14/2018 11:48:00 AM,324.75,324.9,324.65,324.75,7227
9/14/2018 11:47:00 AM,324.65,325,324.65,324.75,14989
9/14/2018 11:46:00 AM,324.75,324.95,324.65,324.65,16859
9/14/2018 11:45:00 AM,325,325,324.6,324.8,21546
9/14/2018 11:44:00 AM,325.2,325.2,324.85,325,16734
9/14/2018 11:43:00 AM,324.9,325.3,324.9,325.2,21510
9/14/2018 11:42:00 AM,324.75,324.95,324.75,324.9,7587
9/14/2018 11:41:00 AM,324.55,324.9,324.55,324.8,28454
9/14/2018 11:40:00 AM,324.95,325,324.4,324.5,54675
9/14/2018 11:39:00 AM,325,325.15,324.9,324.9,21951
9/14/2018 11:38:00 AM,325,325.15,325,325,26171
9/14/2018 11:37:00 AM,325.25,325.25,325,325,27893
9/14/2018 11:36:00 AM,325.35,325.35,325.2,325.25,4941
9/14/2018 11:35:00 AM,325.4,325.5,325.3,325.35,8239
9/14/2018 11:34:00 AM,325.35,325.6,325.35,325.4,11515
9/14/2018 11:33:00 AM,325.25,325.35,325.1,325.35,6829
9/14/2018 11:32:00 AM,325.4,325.4,325.1,325.25,11127
9/14/2018 11:31:00 AM,325,325.4,325,325.35,18021
9/14/2018 11:30:00 AM,325.65,325.7,324.8,325,79352
9/14/2018 11:29:00 AM,325.75,325.75,325.65,325.65,8527
9/14/2018 11:28:00 AM,325.9,325.95,325.5,325.75,21369
9/14/2018 11:27:00 AM,325.85,325.9,325.75,325.9,5462
9/14/2018 11:26:00 AM,325.7,325.85,325.7,325.85,2850
9/14/2018 11:25:00 AM,325.7,325.8,325.7,325.8,3466
9/14/2018 11:24:00 AM,325.65,325.7,325.65,325.7,4148
9/14/2018 11:23:00 AM,325.6,325.75,325.6,325.65,11272
9/14/2018 11:22:00 AM,325.65,325.75,325.6,325.6,5003
9/14/2018 11:21:00 AM,325.75,325.8,325.65,325.75,5951
9/14/2018 11:20:00 AM,325.7,325.8,325.7,325.75,9519
9/14/2018 11:19:00 AM,325.65,325.8,325.65,325.7,5124
9/14/2018 11:18:00 AM,325.95,325.95,325.7,325.7,13819
9/14/2018 11:17:00 AM,326,326,325.9,325.95,7430
9/14/2018 11:16:00 AM,326.15,326.15,326,326,10176
9/14/2018 11:15:00 AM,325.95,326.15,325.95,326.15,10502
9/14/2018 11:14:00 AM,325.75,325.95,325.75,325.95,11316
9/14/2018 11:13:00 AM,325.8,325.85,325.65,325.75,4778
9/14/2018 11:12:00 AM,325.95,325.95,325.7,325.8,13941
9/14/2018 11:11:00 AM,326,326.05,325.9,326,17918
9/14/2018 11:10:00 AM,326,326,325.9,326,4529
9/14/2018 11:09:00 AM,325.9,326,325.85,326,9085
9/14/2018 11:08:00 AM,326,326,325.7,325.9,15663
9/14/2018 11:07:00 AM,326,326.1,325.95,326,22103
9/14/2018 11:06:00 AM,326.15,326.15,326,326.05,20314
9/14/2018 11:05:00 AM,326.3,326.3,326.15,326.2,12366
9/14/2018 11:04:00 AM,326.35,326.35,326.25,326.3,2849
9/14/2018 11:03:00 AM,326.35,326.45,326.2,326.4,5313
9/14/2018 11:02:00 AM,326.35,326.35,326.25,326.35,4457
9/14/2018 11:01:00 AM,326.2,326.35,326.15,326.35,4583
9/14/2018 11:00:00 AM,326.25,326.3,326.1,326.2,3633
9/14/2018 10:59:00 AM,326.4,326.4,326.2,326.2,6571
9/14/2018 10:58:00 AM,326.2,326.4,326.2,326.4,5500
9/14/2018 10:57:00 AM,326.2,326.3,326.1,326.2,4935
9/14/2018 10:56:00 AM,326.25,326.3,326.15,326.2,6015
9/14/2018 10:55:00 AM,326.3,326.3,326.2,326.25,2956
9/14/2018 10:54:00 AM,326.55,326.55,326.15,326.25,6614
9/14/2018 10:53:00 AM,326.6,326.65,326.5,326.5,7432
9/14/2018 10:52:00 AM,326.35,326.75,326.35,326.65,9030
9/14/2018 10:51:00 AM,326.2,326.7,326.05,326.35,94064
9/14/2018 10:50:00 AM,326.45,326.45,326.2,326.2,31483
9/14/2018 10:49:00 AM,326.55,326.6,326.4,326.45,12349
9/14/2018 10:48:00 AM,326.6,326.6,326.5,326.5,3616
9/14/2018 10:47:00 AM,326.55,326.6,326.5,326.6,8459
9/14/2018 10:46:00 AM,326.6,326.6,326.4,326.6,8121
9/14/2018 10:45:00 AM,326.5,326.6,326.45,326.6,4039
9/14/2018 10:44:00 AM,326.65,326.65,326.55,326.55,5545
9/14/2018 10:43:00 AM,326.5,326.65,326.4,326.65,8034
9/14/2018 10:42:00 AM,326.7,326.75,326.5,326.5,4293
9/14/2018 10:41:00 AM,326.9,326.95,326.8,326.8,17514
9/14/2018 10:40:00 AM,327.05,327.05,326.9,326.9,13766
9/14/2018 10:39:00 AM,326.95,327.05,326.95,327.05,3686
9/14/2018 10:38:00 AM,327.15,327.15,326.95,327.05,4561
9/14/2018 10:37:00 AM,326.8,327.2,326.8,327.15,30097
9/14/2018 10:36:00 AM,326.9,327,326.8,326.85,7780
9/14/2018 10:35:00 AM,326.95,327,326.8,326.9,6426
9/14/2018 10:34:00 AM,327,327,326.9,326.95,13414
9/14/2018 10:33:00 AM,327.25,327.35,326.95,326.95,57720
9/14/2018 10:32:00 AM,327,327.2,326.9,327.2,18055
9/14/2018 10:31:00 AM,327,327.15,326.85,327,9057
9/14/2018 10:30:00 AM,327.05,327.2,326.9,326.95,15351
9/14/2018 10:29:00 AM,327.1,327.3,327,327.05,19715
9/14/2018 10:28:00 AM,326.95,327.15,326.9,327.1,11756
9/14/2018 10:27:00 AM,326.75,327.15,326.75,327,17459
9/14/2018 10:26:00 AM,326.7,326.8,326.55,326.75,17134
9/14/2018 10:25:00 AM,326.6,326.9,326.55,326.7,8794
9/14/2018 10:24:00 AM,326.55,326.8,326.25,326.8,27339
9/14/2018 10:23:00 AM,326.55,326.6,326.4,326.55,13080
9/14/2018 10:22:00 AM,326.7,326.8,326.45,326.55,13834
9/14/2018 10:21:00 AM,327.15,327.15,326.7,326.8,16441
9/14/2018 10:20:00 AM,326.6,327.3,326.6,327.15,34905
9/14/2018 10:19:00 AM,326.7,327.05,326.5,326.6,45278
9/14/2018 10:18:00 AM,326.75,326.8,326.6,326.7,14813
9/14/2018 10:17:00 AM,326,326.8,326,326.75,46845
9/14/2018 10:16:00 AM,325.8,326.1,325.8,326.05,13083
9/14/2018 10:15:00 AM,325.7,325.85,325.6,325.8,10497
9/14/2018 10:14:00 AM,325.9,325.9,325.55,325.7,12873
9/14/2018 10:13:00 AM,325.8,326,325.8,325.95,14393
9/14/2018 10:12:00 AM,325.75,325.8,325.55,325.8,14959
9/14/2018 10:11:00 AM,326.05,326.05,325.6,325.6,24278
9/14/2018 10:10:00 AM,326.1,326.2,326,326.05,16396
9/14/2018 10:09:00 AM,326.4,326.4,326.1,326.2,16025
9/14/2018 10:08:00 AM,326.3,326.45,326.2,326.4,17752
9/14/2018 10:07:00 AM,326.3,326.3,326.25,326.25,11977
9/14/2018 10:06:00 AM,326.15,326.3,326.15,326.3,20929
9/14/2018 10:05:00 AM,326.2,326.25,326.1,326.15,15878
9/14/2018 10:04:00 AM,326.15,326.25,326.05,326.2,20520
9/14/2018 10:03:00 AM,325.95,326.15,325.8,326.15,9971
9/14/2018 10:02:00 AM,325.9,326,325.75,326,13024
9/14/2018 10:01:00 AM,326.05,326.15,325.9,325.9,16519
9/14/2018 10:00:00 AM,326,326.1,325.9,326.05,19234
