Date,Nifty Bank O,Nifty Bank H,Nifty Bank L,Nifty Bank C,Nifty Bank V
9/10/2018 1:17:00 PM,27203.7,27204.7,27185.05,27185.05,0
9/10/2018 1:16:00 PM,27205.4,27208.7,27200.55,27203.05,0
9/10/2018 1:15:00 PM,27208.85,27211.7,27199.3,27205.9,0
9/10/2018 1:14:00 PM,27202.6,27215.9,27202.6,27208.75,0
9/10/2018 1:13:00 PM,27214.1,27217.45,27199.55,27202.45,0
9/10/2018 1:12:00 PM,27219.3,27221.55,27213.35,27213.35,0
9/10/2018 1:11:00 PM,27217.7,27221.15,27213.35,27217.1,0
9/10/2018 1:10:00 PM,27214.75,27222.05,27212.95,27216.1,0
9/10/2018 1:09:00 PM,27205.65,27221.7,27204.85,27215.15,0
9/10/2018 1:08:00 PM,27209.35,27215.1,27202.2,27205.35,0
9/10/2018 1:07:00 PM,27189.5,27209.3,27187.1,27207.25,0
9/10/2018 1:06:00 PM,27184.15,27192.2,27176.15,27188.85,0
9/10/2018 1:05:00 PM,27182.95,27189.55,27182,27183.65,0
9/10/2018 1:04:00 PM,27187.25,27192,27181.95,27184.3,0
9/10/2018 1:03:00 PM,27192.4,27199.75,27186.05,27187.4,0
9/10/2018 1:02:00 PM,27194.55,27201.1,27192.4,27194.15,0
9/10/2018 1:01:00 PM,27195.05,27199.55,27193.85,27194.35,0
9/10/2018 1:00:00 PM,27208.55,27214.4,27194.7,27195.85,0
9/10/2018 12:59:00 PM,27196.6,27209.45,27196.45,27209.45,0
9/10/2018 12:58:00 PM,27187.75,27202.25,27187.5,27202.25,0
9/10/2018 12:57:00 PM,27174.05,27189.6,27174.05,27189.6,0
9/10/2018 12:56:00 PM,27171.9,27178.7,27171.7,27173.4,0
9/10/2018 12:55:00 PM,27176.5,27179.75,27170.65,27171.25,0
9/10/2018 12:54:00 PM,27180.25,27188.55,27176.25,27180,0
9/10/2018 12:53:00 PM,27175.75,27183.8,27170.45,27181.25,0
9/10/2018 12:52:00 PM,27185.15,27190.2,27175.7,27176.05,0
9/10/2018 12:51:00 PM,27187.6,27193.1,27184.2,27184.2,0
9/10/2018 12:50:00 PM,27191.7,27196.75,27186.1,27187.9,0
9/10/2018 12:49:00 PM,27183.75,27191.7,27180.95,27190.95,0
9/10/2018 12:48:00 PM,27197.4,27202.05,27183.3,27185.9,0
9/10/2018 12:47:00 PM,27192.95,27199.65,27187.95,27197.2,0
9/10/2018 12:46:00 PM,27190.95,27202.45,27189.2,27193.6,0
9/10/2018 12:45:00 PM,27184.7,27194.3,27181,27189.75,0
9/10/2018 12:44:00 PM,27172.55,27190.3,27172.55,27185.1,0
9/10/2018 12:43:00 PM,27174.45,27180.05,27172.9,27176.75,0
9/10/2018 12:42:00 PM,27187.6,27191.5,27171.15,27172.5,0
9/10/2018 12:41:00 PM,27189.35,27200.5,27186.35,27188.1,0
9/10/2018 12:40:00 PM,27193.5,27196.2,27183.85,27187.6,0
9/10/2018 12:39:00 PM,27174.5,27192.75,27174.5,27192.75,0
9/10/2018 12:38:00 PM,27169.1,27176.55,27167.05,27174.35,0
9/10/2018 12:37:00 PM,27166.4,27176.15,27160.75,27168,0
9/10/2018 12:36:00 PM,27159.85,27174.2,27159.85,27169.5,0
9/10/2018 12:35:00 PM,27150.05,27161.15,27150.05,27161.15,0
9/10/2018 12:34:00 PM,27156.35,27164.25,27147.15,27151.25,0
9/10/2018 12:33:00 PM,27166.8,27169.6,27154.95,27156.05,0
9/10/2018 12:32:00 PM,27160.8,27170.55,27160.8,27168.05,0
9/10/2018 12:31:00 PM,27157.6,27165.25,27156.65,27161.25,0
